"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2010af","2010/03/04","17.1","NGC 3172","11:39:19.3,11:39:19.30","+89:06:06,+89:06:05.7,+89:06:05.69","0.0203","Ia","1","",""
"SN2010at","2010/03/19","17.1","MCG +13-09-10","12:04:59.47","+76:07:52.3,+76:07:52.28","0.0418","Ia","1","",""
"SN2010gj","2010/07/10","17","PGC 190539","21:50:54.34","-17:46:09.4,-17:46:09.41","0.037","Ia","1","",""
"SN2010hh","2010/09/01","17.2","NGC 6524","17:59:18.38","+45:52:32.2,+45:52:32.02","0.018,0.019","Ia","1","",""
"SN2010ja","2010/10/15","17.9","NGC 2513","08:02:28.39","+09:23:40.9,+09:23:40.88","0.0156","Ia","1","",""
"SN2010lp","2010/12/29","15.4","NGC 1137","02:54:03.50","+02:57:43.4,+02:57:43.42","0.0101","Ia","1","1",""
"SN2010lt","2010/12/31","17","UGC 3378","06:06:09.18","+83:50:28.8,+83:50:28.79","0.0184","Ia","1","",""
"SN2011bg","2011/03/26","14.8","KUG 1153+256A","11:56:14.31,11:56:14.3,11:56:14.36,11:56:14.4,11:56:14.40","+25:21:11.9,+25:21:14,+25:21:11.92,+25:21:14.5,+25:21:14.4,+25:21:14.8,+25:21:11.8,+25:21:15.48","0.0323","Ia","1","1",""
"SN2011ce","2011/04/19","15.8","NGC 6708","18:55:35.84,18:55:35.79","-53:43:29.1,-53:43:29.10,-53:43:29.0","0.0086","Ia-02cx","1","",""
"SN2011dx","2011/06/27","17.6","NGC 1376","03:37:05.61,03:37:05.00","-05:01:56.3,-05:01:56.32,-05:01:56.0","0.0139","Ia","1","",""
"SN2011fc","2011/07/11","17.8","A230136+3220","23:01:36.38","+32:20:06.9,+32:20:06.90","0.05","Ia","1","",""
"SN2011fg","2011/08/20","16.6","A232321+1647","23:23:20.59","+16:47:41.3,+16:47:41.32","0.045","Ia Pec","1","",""
"SN2011gi","2011/09/21","18.2","CGCG 479-038","00:32:43.00,00:32:43.0,00:32:43.001","+26:06:51.6,+26:06:52,+26:06:51.59,+26:06:51.5,+26:06:51.48","0.0679","Ia","1","",""
"SN2011ho","2011/10/28","18.3","NGC 3847","11:44:12.95,11:44:13.0,11:44:12.94,11:44:12.72","+33:30:58.1,+33:30:58,+33:30:58.10,+33:30:58.0,+33:30:58.68","0.0318","Ia","1","",""
"SN2011hu","2011/11/06","17.2","ESO 365-G29","06:33:40.85,06:33:40.84","-34:16:26.7,-34:16:26.69","0.0251","Ia","1","",""
"SN2011Z","2011/01/29","16.1","ESO 576-G77","13:30:43.04,13:30:42.96","-20:57:14.0,-20:57:14.4,-20:57:14.00","0.018","Ia","1","1",""
"SN2012bj","2012/03/15","20","A084332+3200","08:43:32.32","+32:00:17.2,+32:00:17.21","0.167,0.167","Ia Pec","1","",""
"SN2012ea","2012/08/08","15.4","NGC 6430","17:45:10.40","+18:08:26.8,+18:08:26.81","0.0102","Ia Pec","1","",""
"SN2012fa","2012/09/14","23.4","A033459-2751","03:34:59.022,03:34:59.02","-27:51:55.43,-27:51:55.4,-27:51:55.40","0.4,0.4","Ia","1","",""
"SN2012fx","2012/08/22","17.2","ESO 417-G3","02:55:41.20,02:55:41.26","-27:25:27.6,-27:25:26.2,-27:25:27.59","0.02","Ia","1","1",""
"SN2012gb","2012/10/31","16.4","IC 5193","22:15:42.84","+37:14:38.0,+37:14:38.00","0.0186","Ia","1","",""
"SN2012gy","2012/11/15","17.2","SDSS J075635.70+395405.0","07:56:35.55,07:56:35.6,07:56:35.71,07:56:35.52","+39:54:07.2,+39:54:07,+39:54:05.4,+39:54:07.20","0.067","Ia","1","",""
"SN2012ik","2012/12/23","19.4","PGC 2401776","07:35:26.91","+51:52:50.4,+51:52:50.41","0.064","Ia","1","",""
"SN2012T","2012/01/26","17.4","NGC 5421","14:01:41.69,13:10:19.68","+33:49:33.9,+33:49:33.89,+32:28:25.7","0.017646","Ia","1","1",""
"SN2013bz","2013/04/21","14.7","2MASX J13265081-1001263","13:26:51.32,13:26:51.3,13:26:51.36","-10:01:32.2,-10:01:32,-10:01:32.20,-10:01:32.16","0.019163","Ia","1","2",""
"SN2013D","2013/01/03","17.5","PGC 1483058","03:41:15.13","+15:23:03.9,+15:23:03.91","0.027119","Ia","1","",""
"SN2013dj","2013/06/10","16.5","UGC 10535","16:46:01.94","+06:27:59.3,+06:27:59.29","0.025304","Ia","1","",""
"SN2013en","2013/07/30","15.7","UGC 11369","18:51:37.35","+23:38:20.6,+23:38:20.62","0.015207","Ia","1","1",""
"SN2013gr","2013/11/28","17.2","ESO 114-G7","01:46:27.90","-58:40:23.8,-58:40:23.81","0.0074","Ia Pec","1","36",""
"SN2013hb","2013/10/07","15.5","VI Zw 062","01:50:46.32,01:50:46.3","+33:06:35.6,+33:06:36,+33:06:35.60,+33:06:35.64","0.035","Ia Pec","1","1",""
"SN2013I","2013/01/11","17.8","A024943+0045","02:49:42.17","+00:45:35.7,+00:45:35.71","0.036,0.035","Ia","1","1",""
"SN2013S","2013/01/25","14.8","A033530+3816","03:35:30.29","+38:16:59.3,+38:16:59.70,+38:16:59.7","0.018576","Ia","1","1",""
"SN2014ba","2014/05/07","14.7","NGC 7410","22:55:01.97","-39:39:34.5,-39:39:34.49","0.0058","Ia-91bg","1","",""
"SN2014bb","2014/05/09","15.9","NGC 5214","13:32:49.11","+41:52:15.1,+41:52:15.10","0.026942","Ia","1","1",""
"SN2014ck","2014/06/29","16.2","UGC 12182","22:45:38.88","+73:09:42.7,+73:09:42.70","0.00497","Ia Pec","1","1",""
"SN2014cr","2014/06/27","17.8","NGC 6806","19:37:06.13","-42:17:50.5,-42:17:50.50","0.02","Ia-02cx","1","4",""
"SN2014da","2014/08/07","15.4","NGC 128","00:29:15.12","+02:51:57.6,+02:51:57.60","0.0141","Ia-91bg","1","",""
"SN2014dn","2014/09/24","17.1","IC 2060","04:17:54.27,04:17:54.00","-56:36:45.2,-56:36:45.22","0.022189","Ia Pec","1","4",""
"SN2014dv","2014/11/17","16","NGC 2501","07:58:30.10","-14:21:15.0,-14:21:15.01","0.007","Ia","1","",""
"ASASSN-15ak","2015/01/09","14.8","UGC 110","00:12:01.576,00:12:01.58,00:12:01.5456","+26:23:37.26,+26:23:37.3,+26:23:37.32","0.015034","Ia Pec","1","1",""
"ASASSN-15mi","2015/07/06","15.5","MRK 283a","14:03:15.750,14:03:15.75,14:03:15.6","+41:36:14.36,+41:36:14.4,+41:36:11.88","0.034446","Ia Pec","1","1",""
"ASASSN-15uh","2015/12/18","16.5","KUG 0925+693","09:30:13.694,09:30:13.69,09:30:13.68","+69:07:02.54,+69:07:02.5,+69:07:02.64","0.0135,0.0134","Ia Pec","1","1",""
"MASTER OT J020844.29+481923.0","2015/01/08","17.4","","02:08:44.29,02:08:44.2","+48:19:23.0","0.036","Ia","1","1",""
"PS15csd","2015/11/01","19","","02:04:55.53","+18:48:15.0,+18:48:15.1","0.044","Ia","1","1",""
"PSN J09100885+5003396","2015/11/08","16.7","UGC 4812","09:10:08.85","+50:03:39.6","0.026","Ia Pec","1","1",""
"SN2015A","2015/01/09","16.6","NGC 2955","09:41:15.55","+35:53:17.4,+35:53:17.41","0.023","Ia","1","1",""
"SN2015ai","2015/07/02","16.2","UGC 8734","13:48:04.90","+61:49:15.3,+61:49:15.31","0.031","Ia","1","1",""
"SN2015ao","2015/10/06","16.1","ESO 354-G3","01:50:53.56","-36:00:30.8,-36:00:30.82","0.019","Ia Pec","1","",""
"SN2015aw","2015/07/12","15.9","ESO 197-G24","02:06:22.53","-52:01:26.7,-52:01:26.69","0.0196","Ia Pec","1","",""
"SN2015H","2015/02/10","16","NGC 3464","10:54:42.16","-21:04:13.8,-21:04:13.80","0.01246","Ia Pec","1","1",""
"SN2016hnk","2016/10/27","17.91","","02:13:16.63,02:13:16.630","-07:39:40.80","0.016268","Ia Pec","1","2",""
"SN1960H","1960/06/18","14.5","NGC 4096","12:06:07.52,12:06:07.53","+47:30:38.1,+47:30:38.4,+47:30:38.20,+47:30:38.2","0.0019","Ia","1","3",""
"SN1980I","1980/06/13","14","NGC 4374","12:25:38.12,12:25:35.06,12:25:38.1","+12:53:23.5,+12:53:34.6,+12:53:24.0","0.0033","Ia","1","",""
"SN2011cu","2011/04/30","","A113510+0100","11:35:10.63,11:35:10.56","+01:00:20.9,+01:00:20.92,+01:00:20.88","0.08","Ia Pec","0","",""
"SN2011ig","2011/11/17","","A010554-1220","01:05:54.65,01:05:54.648","-12:20:48.6,-12:20:48.59,-12:20:48.5,-12:20:48.48","0.065","Ia","0","1",""
"SN2011ji","2011/11/28","","A090821+1633","09:08:21.16,09:08:21.12","+16:33:37.1,+16:33:37.12,+16:33:37.08","0.089","Ia Pec","0","1",""
"SN2013cm","2013/05/10","","PGC 1693013","17:20:01.94,17:20:01.93,17:20:01.92","+23:44:51.3,+23:44:51.29,+23:44:51.36","0.04","Ia","0","",""
"SN2014dl","2014/09/25","","UGC 10414","16:29:46.09,16:29:46.08","+08:38:30.6,+08:38:30.59,+08:38:30.588","0.032966","Ia Pec","0","2",""
