Wavelength Flux
6870.0 5.14454785606e-15
6880.0 5.23528549219e-15
6890.0 5.27634954013e-15
6900.0 5.31701780719e-15
6910.0 5.24836824706e-15
6920.0 5.15033435159e-15
6930.0 5.17308739105e-15
6940.0 5.0814098e-15
6950.0 5.1354559608e-15
6960.0 5.02957703124e-15
6970.0 5.01752626684e-15
6980.0 5.12237038486e-15
6990.0 4.96211846123e-15
7000.0 5.07154283033e-15
7010.0 4.92130568549e-15
7020.0 4.94968535042e-15
7030.0 5.01330048686e-15
7040.0 4.96660617423e-15
7050.0 4.92211274095e-15
7060.0 4.89117792869e-15
7070.0 4.89914292475e-15
7080.0 4.93589950019e-15
7090.0 4.9051325197e-15
7100.0 4.96665715456e-15
7110.0 4.82912479593e-15
7120.0 4.86451600991e-15
7130.0 4.97190993935e-15
7140.0 4.77342308822e-15
7150.0 4.67800757189e-15
7160.0 4.62287035867e-15
7170.0 4.62549250654e-15
7180.0 5.07966177957e-15
7190.0 4.92941900188e-15
7200.0 4.94216814861e-15
7210.0 4.82971108697e-15
7220.0 4.77854595388e-15
7230.0 4.97371321241e-15
7240.0 4.74148325523e-15
7250.0 4.85207576961e-15
7260.0 4.68480220983e-15
7270.0 4.72944156216e-15
7280.0 4.95847095418e-15
7290.0 4.80846169708e-15
7300.0 4.73810323615e-15
7310.0 4.84054787303e-15
7320.0 4.6594892473e-15
7330.0 4.69734628219e-15
7340.0 4.53403456309e-15
7350.0 4.33499343994e-15
7360.0 4.38792906027e-15
7370.0 4.11113358578e-15
7380.0 4.07886755461e-15
7390.0 4.03550489266e-15
7400.0 3.85134896744e-15
7410.0 3.92479935066e-15
7420.0 3.72412480168e-15
7430.0 3.54911209861e-15
7440.0 3.70300488054e-15
7450.0 3.48000262165e-15
7460.0 3.2774133344e-15
7470.0 3.32190545027e-15
7480.0 3.10223174451e-15
7490.0 3.0270024389e-15
7500.0 3.04522725778e-15
7510.0 3.00273380844e-15
7520.0 2.97592383597e-15
7530.0 3.12201093582e-15
7540.0 2.97829890478e-15
7550.0 2.95892927796e-15
7560.0 2.66427850745e-15
7570.0 1.08486871314e-15
7580.0 1.6530262362e-15
7590.0 2.07630920187e-15
7600.0 1.82122901306e-15
7610.0 2.20791279032e-15
7620.0 2.49475233632e-15
7630.0 2.8956021206e-15
7640.0 3.02334884277e-15
7650.0 3.05753101673e-15
7660.0 3.2146262928e-15
7670.0 3.16300481356e-15
7680.0 3.35841184691e-15
7690.0 3.17877748176e-15
7700.0 3.30867878312e-15
7710.0 3.57472849959e-15
7720.0 3.3737742921e-15
7730.0 3.61493290373e-15
7740.0 3.68447531916e-15
7750.0 3.60213413311e-15
7760.0 3.96947304634e-15
7770.0 3.89513757124e-15
7780.0 3.87625816803e-15
7790.0 4.16976188265e-15
7800.0 4.11767732239e-15
7810.0 4.06560578629e-15
7820.0 4.38529069685e-15
7830.0 4.46966045274e-15
7840.0 4.26461506809e-15
7850.0 4.15711082642e-15
7860.0 4.43158721059e-15
7870.0 4.52093401539e-15
7880.0 4.179015755e-15
7890.0 4.46169795114e-15
7900.0 4.49727038696e-15
7910.0 4.20233020595e-15
7920.0 4.18558571718e-15
7930.0 4.3586059569e-15
7940.0 4.10768442174e-15
7950.0 3.89618942432e-15
7960.0 3.99141348885e-15
7970.0 4.16252237143e-15
7980.0 3.75961884252e-15
7990.0 3.73904853878e-15
8000.0 3.99239726242e-15
8010.0 3.75476700527e-15
8020.0 3.53929852479e-15
8030.0 3.56190321413e-15
8040.0 3.69278018448e-15
8050.0 3.467146271e-15
8060.0 3.24769646554e-15
8070.0 3.31592320296e-15
8080.0 3.2390575975e-15
8090.0 2.86539246691e-15
8100.0 2.7001354956e-15
8110.0 2.68197866294e-15
8120.0 2.37156468231e-15
8130.0 2.00065732517e-15
8140.0 2.2162085825e-15
8150.0 2.04670522009e-15
8160.0 1.84188111718e-15
8170.0 1.79079719773e-15
8180.0 1.71643159064e-15
8190.0 1.66679568623e-15
8200.0 1.54856207838e-15
8210.0 1.6150563437e-15
8220.0 1.66809962417e-15
8230.0 1.74736480033e-15
8240.0 1.69788902241e-15
8250.0 1.64461098727e-15
8260.0 1.66607445391e-15
8270.0 1.84745342275e-15
8280.0 1.81883121e-15
8290.0 1.93697920083e-15
8300.0 2.21919293635e-15
8310.0 2.29229390281e-15
8320.0 2.41141600465e-15
8330.0 2.35394457277e-15
8340.0 2.58084493171e-15
8350.0 2.9834163272e-15
8360.0 2.77017263683e-15
8370.0 2.91531361136e-15
8380.0 3.29690593793e-15
8390.0 3.51552502163e-15
8400.0 3.59281522978e-15
8410.0 4.1009687406e-15
8420.0 4.50175420612e-15
8430.0 4.26385973924e-15
8440.0 4.49381496294e-15
8450.0 5.20907110586e-15
8460.0 4.67773057083e-15
8470.0 4.67009388949e-15
8480.0 5.46168006426e-15
8490.0 5.19919763644e-15
8500.0 4.63451062946e-15
8510.0 5.27355107637e-15
8520.0 5.10518826574e-15
8530.0 4.38417662658e-15
8540.0 5.03620631475e-15
8550.0 4.4675955553e-15
8560.0 4.36714994269e-15
8570.0 4.72618274952e-15
8580.0 3.91867508016e-15
8590.0 4.60672853351e-15
8600.0 3.70814319116e-15
8610.0 4.51957395691e-15
8620.0 3.40484846119e-15
8630.0 4.23335805224e-15
8640.0 4.13506366257e-15
8650.0 3.62479452723e-15
8660.0 3.82102426223e-15
8670.0 3.40081904243e-15
8680.0 0.0
8690.0 0.0
8700.0 0.0
8710.0 0.0
8720.0 0.0
8730.0 0.0
8740.0 0.0
8750.0 0.0
8760.0 0.0
8770.0 0.0
8780.0 0.0
8790.0 0.0
8800.0 0.0
8810.0 0.0
8820.0 0.0
8830.0 0.0
8840.0 0.0
8850.0 0.0
8860.0 0.0
8870.0 0.0
8880.0 0.0
8890.0 0.0
8900.0 0.0
8910.0 0.0
8920.0 0.0
8930.0 0.0
8940.0 0.0
8950.0 0.0
8960.0 0.0
8970.0 0.0
8980.0 0.0
8990.0 0.0
9000.0 0.0
9010.0 0.0
9020.0 0.0
9030.0 0.0
9040.0 0.0
9050.0 0.0
9060.0 0.0
9070.0 0.0
9080.0 0.0
9090.0 0.0
9100.0 0.0
9110.0 0.0
9120.0 0.0
9130.0 0.0
9140.0 0.0
9150.0 0.0
9160.0 0.0
9170.0 0.0
9180.0 0.0
9190.0 0.0
9200.0 0.0
9210.0 0.0
9220.0 0.0
9230.0 0.0
9240.0 0.0
9250.0 0.0
9260.0 0.0
9270.0 0.0
9280.0 0.0
9290.0 0.0
9300.0 0.0
9310.0 0.0
9320.0 0.0
9330.0 0.0
9340.0 0.0
9350.0 0.0
9360.0 0.0
9370.0 0.0
9380.0 0.0
