# Basic SN parameters
#
# Column 1: SN name
# Column 2: heliocentric redshift
# Column 3: MJD at B-band maximum light (99999.9=no estimate)
# Column 4: 1-sigma error
# Column 5: light-curve fitters used and other references
# Column 6: Dm15(B) (9.99=no estimate)
# Column 7: 1-sigma error
# Column 8: light-curve fitter used and other references 
# Column 9: intrinsic absolute M_B from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-99.99=no estimate)
# Column 10: 1-sigma error
# Column 11: intrinsic B-V color from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 12: 1-sigma error
# Column 13: intrinsic Bmax-Vmax pseudo-color from BayeSN for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 14: 1-sigma error
# Column 15: reference for photometric data
#
# Light-curve fitters: B=BayeSN, M=MLCS2k2, SA=SALT2, SN=SNooPy
#
# Other references:
#
# BSNIP: Berkeley SN Ia Program (2011, priv. comm.)
# Buf05: Bufano et al. 2005
# Bur11: Burns et al. 2011
# CfA1: Riess et al. 1999a
# CfA2: Jha et al. 2006
# CfA3: Hicken et al. 2009a
# Con10: Contreras et al. 2010
# Gan10: Ganeshalingam et al. 2010
# Hic07: Hicken et al. 2007
# Jha07: Jha, Riess, & Kirshner 2007 (and references therein)
# Kas08: Kasliwal et al. 2008
# Kri10: Krisciunas et al. 2010
# Phi99: Phillips et al. 1999
# Phi07: Phillips et al. 2007
# Pri09: J. L. Prieto (2009, priv. comm.; based on the method of Prieto, Rest, & Suntzeff 2006)
# Sca10: Scalzo et al. 2010
# SNF: SNfactory collaboration (2011, priv. comm.)
# Str11: Stritzinger et al. 2011
# Tau08: Taubenberger et al. 2008
#
#SN                zhel      tmax(B)  +/-  ref.         Dm15  +/-   ref.     M_B     +/-     B-V    +/-     Bm-Vm  +/-     Phot. ref.          
#************************************************************************************************************************************
2006bm             0.0685    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006bq             0.0219    53846.9  0.8  B,SA,SN      1.29  0.06  B        -19.18  0.09    -0.09  0.07    -0.07  0.07    CfA3                
2006br             0.0245    53852.1  1.1  B,SA,SN      1.12  0.09  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006bt             0.0322    53857.4  0.6  B,M,SA       1.00  0.06  B        -19.47  0.09    -0.13  0.06    -0.08  0.06    CfA3,Gan10          
2006bu             0.0810    53856.4  0.2  M            9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006bw             0.0300    53852.3  3.5  B,SA         1.28  0.09  B        -19.29  0.10    -0.11  0.07    -0.10  0.08    CfA3                
2006bz             0.0268    53862.6  0.2  M            2.09  0.16  CfA3     -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cc             0.0326    53873.3  0.1  B,M,SA,SN    0.97  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cf             0.0416    53872.4  0.2  M            9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cj             0.0675    53878.5  1.2  M,SA,SN      0.81  0.06  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cm             0.0163    53885.4  0.5  B            1.04  0.07  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cp             0.0223    53896.7  0.0  B,M,SA,SN    0.98  0.09  B        -19.47  0.09    -0.09  0.05    -0.06  0.05    CfA3                
2006cq             0.0483    53889.8  0.0  M            9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cs             0.0234    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006cz             0.0418    53907.3  0.1  SA           9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006da             0.0412    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006dt             0.0263    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006dv             0.0330    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006em             0.0192    53976.7  0.7  B,M          1.50  0.15  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2006eq             0.0495    53975.3  0.5  Bur11        1.62  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2006et             0.0224    53993.9  0.5  B,M,SA,SN    1.02  0.05  B        -19.52  0.08    -0.07  0.06    -0.05  0.06    CfA3                
2006eu             0.0236    53985.9  2.2  B,M,SA       1.27  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2006ev             0.0286    53988.6  0.5  Str11        1.32  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Str11          
2006gj             0.0283    53999.1  0.2  M,SA,SN      1.48  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006gr             0.0346    54012.4  0.5  B,M,SA,SN    0.81  0.07  B        -19.64  0.08    -0.12  0.05    -0.08  0.06    CfA3                
2006gt             0.0448    54001.9  0.2  Bur11        1.66  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2006gz             0.0234    54019.7  0.5  Hic07        0.69  0.04  Hic07    -99.99  9.99    -9.99  9.99    -9.99  9.99    Hic07               
2006hb             0.0153    53999.6  0.4  B,SA         1.44  0.09  B        -19.17  0.09    -0.11  0.07    -0.17  0.06    CfA3,Gan10          
2006je             0.0380    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006ke             0.0172    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006kf             0.0213    54040.7  0.0  B,M,SA,SN    1.55  0.03  B        -19.09  0.09    -0.11  0.04    -0.10  0.04    CfA3                
2006le             0.0174    54047.4  0.3  B,M,SA,SN    0.88  0.03  B        -19.65  0.04    -0.14  0.03    -0.09  0.03    CfA3                
2006lf             0.0132    54045.0  0.2  B,M,SA,SN    1.30  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2006mo             0.0372    54046.8  0.7  M,SA         9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006nz             0.0441    54057.9  0.1  M            9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006oa             0.0600    54066.2  0.1  B,M,SA,SN    0.89  0.07  B        -19.59  0.10    -0.08  0.05    -0.07  0.05    CfA3                
2006oq             0.0211    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006or             0.0207    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006ot             0.0529    54063.7  0.5  Str11        0.84  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Str11          
2006ou             0.0135    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006sr             0.0244    54092.1  0.4  B,M,SA,SN    1.24  0.06  B        -19.18  0.08    -0.09  0.05    -0.06  0.05    CfA3                
2006su             0.0468    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006te             0.0315    54096.8  0.4  B,M,SA,SN    1.04  0.07  B        -19.42  0.08    -0.12  0.06    -0.11  0.06    CfA3                
2007A              0.0171    54112.6  0.5  Str11        0.95  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Str11               
2007B              0.0211    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007F              0.0236    54123.4  0.0  B,M,SA,SN    0.96  0.03  B        -19.57  0.06    -0.13  0.04    -0.12  0.04    CfA3                
2007H              0.0426    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007S              0.0139    54144.1  0.1  B,M,SA,SN    0.94  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007ae             0.0644    54154.0  0.1  B,M,SA,SN    0.98  0.06  B        -19.58  0.08    -0.08  0.06    -0.02  0.06    CfA3                
2007af             0.0054    54174.1  0.4  M,SA,SN      1.04  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007al             0.0121    54168.9  0.3  M,SN         1.89  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2007ao             0.0246    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007ap             0.0158    54166.9  0.5  B            1.37  0.09  B        -19.14  0.08    -0.09  0.06    -0.07  0.07    CfA3                
2007at             0.0542    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007au             0.0200    54184.0  0.4  M,SN         1.69  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007ax             0.0071    54187.1  0.5  Str11        1.87  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Str11          
2007ba             0.0385    54196.2  0.5  Str11        1.89  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Str11          
2007bc             0.0208    54199.9  0.1  B,M,SA,SN    1.37  0.05  B        -19.29  0.08    -0.13  0.05    -0.13  0.04    CfA3                
2007bd             0.0310    54206.5  0.1  B,M,SA,SN    1.30  0.08  B        -19.21  0.06    -0.06  0.04    -0.04  0.04    CfA3                
2007bj             0.0166    54200.2  0.0  SA           9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2007bk             0.0322    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007bm             0.0062    54224.5  0.4  M,SA,SN      1.09  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007bz             0.0218    54214.9  1.0  B,M,SA,SN    1.05  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007ca             0.0141    54226.7  0.2  B,M,SA,SN    0.89  0.04  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007cb             0.0364    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007cc             0.0291    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007cf             0.0329    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007cg             0.0332    54228.5  1.8  B,SA         1.05  0.10  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007ci             0.0180    54246.4  0.2  M,SN         1.60  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007cj             0.0082    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007co             0.0270    54264.6  0.1  B,M,SA,SN    1.16  0.03  B        -19.41  0.07    -0.10  0.04    -0.08  0.04    CfA3                
2007cp             0.0366    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007cq             0.0262    54280.6  0.2  B,M,SA,SN    1.20  0.06  B        -19.35  0.06    -0.02  0.03     0.00  0.03    CfA3                
2007fb             0.0180    54286.7  0.3  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007fc             0.0337    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007fs             0.0173    54296.3  2.1  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007hj             0.0143    54348.9  0.2  M,SA         1.95  0.06  Gan10    -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2007hu             0.0355    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007if             0.0742    54348.4  0.5  Sca10        0.71  0.06  Sca10    -99.99  9.99    -9.99  9.99    -9.99  9.99    Sca10               
2007ir             0.0353    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007is             0.0294    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007jg             0.0371    54365.8  0.5  Str11        1.17  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Str11               
2007kd             0.0242    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007kf             0.0440    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007kg             0.0060    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007ki             0.0167    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007kk             0.0410    54382.2  2.0  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007le             0.0068    54398.7  0.5  B,M,SA,SN    1.01  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2007nq             0.0450    54397.6  0.5  Str11        1.47  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Str11               
2007ob             0.0339    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007oo             0.0298    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007qe             0.0239    54428.9  0.0  B,M,SA,SN    1.03  0.04  B        -19.59  0.07    -0.14  0.04    -0.13  0.04    CfA3                
2007rx             0.0300    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007so             0.0298    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007sr             0.0056    54449.1  0.3  SA           1.05  0.07  Gan10    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2007ss             0.0155    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007su             0.0279    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007sw             0.0252    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2007ux             0.0309    54460.4  1.0  SA           1.74  0.07  Gan10    -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2008A              0.0162    54478.1  0.5  B            1.28  0.09  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2008C              0.0170    54465.8  0.5  Str11        1.11  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Str11               
2008E              0.0340    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008L              0.0194    54492.4  0.4  B,M,SA,SN    1.38  0.06  B        -19.26  0.07    -0.13  0.07    -0.08  0.08    CfA3                
2008Q              0.0081    54505.4  0.2  SA           1.25  0.08  Gan10    -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2008R              0.0135    54492.8  0.5  Str11        1.54  0.05  Str11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Str11               
2008Y              0.0697    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008Z              0.0210    54514.7  0.3  M,SA,SN      1.02  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2008ae             0.0301    54507.4  1.0  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008af             0.0335    54501.4  0.5  B            1.33  0.08  B        -19.14  0.08    -0.08  0.07    -0.05  0.07    CfA3                
2008ai             0.0351    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008ar             0.0261    54534.1  0.6  M,SA,SN      1.10  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2008as             0.0198    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008at             0.0350    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2008bf             0.0246    54554.6  0.4  B,M,SA,SN    1.05  0.04  B        -19.53  0.05    -0.04  0.04    -0.01  0.04    CfA3                
SNF20080514-002    0.0219    54611.7  0.5  B            1.35  0.04  B        -19.22  0.07    -0.15  0.04    -0.15  0.04    Gan10               
SNF20080522-000    0.0450    54621.5  0.1  SNF          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
SNF20080522-011    0.0379    54616.7  0.2  SNF          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
SNF20080623-001    0.0430    54650.0  0.1  SNF          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
SNF20080720-001    0.0209    54671.8  0.3  SNF          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
