Wavelength Scaled_Flux Error
3879.0 2.33368933544 7.5313554901e-17
3880.5 2.52524668061 7.53512221238e-17
3882.0 2.064649295 7.47437322325e-17
3883.5 1.92077796736 7.49073655577e-17
3885.0 1.9451579448 7.28630669617e-17
3886.5 1.8380569739 7.21827535229e-17
3888.0 1.81263049725 7.20229221651e-17
3889.5 1.91814255059 7.16567922096e-17
3891.0 1.84961244215 7.18655929568e-17
3892.5 1.95569923228 7.2828496805e-17
3894.0 2.07235480224 7.26914372569e-17
3895.5 2.31067069085 7.24220774939e-17
3897.0 1.55000528712 7.01688731654e-17
3898.5 1.08921263524 6.76980968186e-17
3900.0 1.65532755098 6.86436630957e-17
3901.5 1.83300298841 7.1638915964e-17
3903.0 1.47090650728 7.01107563075e-17
3904.5 1.26781554676 6.85708857918e-17
3906.0 1.3805829267 6.98015721239e-17
3907.5 1.25788673706 6.9537172916e-17
3909.0 1.38756181135 7.07861466861e-17
3910.5 1.58080535474 7.06710203151e-17
3912.0 1.81464790523 7.21765593907e-17
3913.5 1.85269787689 7.27493916375e-17
3915.0 1.90851230686 7.18370457062e-17
3916.5 1.67104754275 6.87124259621e-17
3918.0 1.77534499763 6.98558270229e-17
3919.5 1.78526290799 7.10935148741e-17
3921.0 1.92160778121 7.00632217171e-17
3922.5 1.73912785012 6.75920266789e-17
3924.0 1.61669183475 6.78979563185e-17
3925.5 1.40556469948 6.65740530459e-17
3927.0 1.77283993912 6.78045781506e-17
3928.5 2.29159419073 6.91238033286e-17
3930.0 1.65323455256 6.65891871756e-17
3931.5 1.32945900824 6.58117960873e-17
3933.0 1.51135335744 6.64092111401e-17
3934.5 1.42683185826 6.59687191025e-17
3936.0 1.62156682164 6.65352184866e-17
3937.5 1.53769597504 6.6757379862e-17
3939.0 1.4134763181 6.61445207229e-17
3940.5 1.62604579922 6.63731699394e-17
3942.0 2.15614414782 6.94751291082e-17
3943.5 2.22733147171 7.01465337951e-17
3945.0 1.84237875156 6.75921004186e-17
3946.5 1.69687534282 6.67014202019e-17
3948.0 2.14861216239 6.86509220788e-17
3949.5 2.1322902126 6.87525215948e-17
3951.0 1.9648743066 6.8143229456e-17
3952.5 1.98888538751 6.75953399647e-17
3954.0 2.24526375814 6.90143874077e-17
3955.5 1.57769844668 6.62628728919e-17
3957.0 1.24872809308 6.3684451626e-17
3958.5 1.41772201729 6.33806466887e-17
3960.0 1.4043608919 6.30632136608e-17
3961.5 1.64381014907 6.4170329805e-17
3963.0 2.02387177734 6.43831299919e-17
3964.5 1.72184605358 6.40688540216e-17
3966.0 2.43625162641 6.66070609215e-17
3967.5 2.19841297702 6.52098779154e-17
3969.0 1.66614012897 6.27345946999e-17
3970.5 2.03163134747 6.30651858845e-17
3972.0 2.20834167827 6.47472964726e-17
3973.5 2.33057695059 6.64000261769e-17
3975.0 2.20714313057 6.54549160858e-17
3976.5 1.88595983947 6.46438847104e-17
3978.0 1.48556362372 6.27785397933e-17
3979.5 1.91396186786 6.51401426852e-17
3981.0 2.03598029214 6.54330154041e-17
3982.5 1.84889118789 6.40790075991e-17
3984.0 2.42682722293 6.63175564808e-17
3985.5 2.17889182725 6.41516086778e-17
3987.0 1.91190129633 6.25307820039e-17
