#cid z av av_err
1996bo 0.0163 1.1086 0.0660
1996bv 0.0167 0.7080 0.1037
1997E 0.0133 0.1221 0.0848
1997Y 0.0166 0.1922 0.0720
1997bq 0.0095 0.5758 0.0778
1997cn 0.0170 -0.2227 0.0716
1997cw 0.0160 1.2417 0.0889
1997dg 0.0297 0.1965 0.0783
1997do 0.0105 0.4211 0.0872
1997dt 0.0061 1.9578 0.1132
1998D 0.0132 0.2541 0.1955
1998V 0.0172 0.2767 0.0709
1998ab 0.0279 0.5153 0.0564
1998bp 0.0102 0.0209 0.0870
1998bu 0.0040 1.0735 0.0225
1998co 0.0170 0.5918 0.1719
1998de 0.0156 0.1684 0.0624
1998dh 0.0077 0.4704 0.0815
1998dk 0.0120 0.6244 0.1210
1998dm 0.0056 1.1631 0.1082
1998dx 0.0537 -0.1873 0.1530
1998ec 0.0201 0.6440 0.1693
1998ef 0.0167 -0.0303 0.1436
1998eg 0.0235 0.2949 0.0980
1998es 0.0096 0.4037 0.0347
1999X 0.0258 0.2259 0.1899
1999aa 0.0153 0.0038 0.0294
1999ac 0.0098 0.4125 0.0362
1999aw 0.0392 -0.1435 0.0598
1999by 0.0028 0.0457 0.0453
1999cc 0.0315 0.1302 0.0756
1999cp 0.0104 0.0036 0.1108
1999cw 0.0113 -0.6244 0.2755
1999da 0.0125 0.0691 0.0734
1999dk 0.0139 0.3099 0.0726
1999dq 0.0135 0.4802 0.0288
1999ee 0.0106 0.9504 0.0242
1999ef 0.0380 -0.1586 0.1490
1999ej 0.0128 -0.1300 0.1516
1999ek 0.0176 0.5814 0.0461
1999gd 0.0193 1.4224 0.0978
1999gh 0.0088 -0.1369 0.0944
1999gp 0.0260 0.2990 0.0321
2000B 0.0199 0.2527 0.1397
2000E 0.0042 0.7745 0.0651
2000bh 0.0242 0.1905 0.0778
2000bk 0.0266 0.1911 0.1321
2000ca 0.0245 -0.1482 0.0537
2000ce 0.0165 1.9158 0.0718
2000cf 0.0365 0.1579 0.0765
2000cn 0.0232 -0.0614 0.1128
2000cx 0.0069 -0.6008 0.0294
2000dk 0.0164 -0.4017 0.1064
2000fa 0.0218 0.4259 0.0724
2001V 0.0162 0.2488 0.0326
2001ay 0.0309 0.8630 0.0561
2001ba 0.0305 -0.1690 0.0497
2001bt 0.0144 0.7067 0.0576
2001cn 0.0154 0.4718 0.0599
2001cz 0.0163 0.3572 0.0685
2001el 0.0037 0.7786 0.0358
2002bf 0.0247 0.5276 0.1124
2002bo 0.0054 1.3517 0.0344
