#;epoch	U	B	V	R	I	Y	J	H	K
46.	3.2820	3.1360	2.2050	1.9890	1.8390	1.1786	2.5645	1.3719	1.5318
47.	3.3010	3.1490	2.2340	2.0280	1.8780	1.2100	2.6047	1.3857	1.5560
48.	3.3200	3.1600	2.2620	2.0670	1.9160	1.2454	2.6500	1.4092	1.5876
49.	3.3380	3.1720	2.2890	2.1040	1.9560	1.2875	2.7030	1.4445	1.6283
50.	3.3570	3.1870	2.3160	2.1380	2.0000	1.3366	2.7639	1.4899	1.6767
51.	3.3750	3.2020	2.3420	2.1710	2.0460	1.3890	2.8285	1.5406	1.7285
52.	3.3940	3.2180	2.3680	2.2030	2.0930	1.4429	2.8947	1.5938	1.7819
53.	3.4120	3.2330	2.3950	2.2350	2.1400	1.4970	2.9612	1.6481	1.8360
54.	3.4310	3.2490	2.4210	2.2680	2.1860	1.5501	3.0266	1.7021	1.8898
55.	3.4490	3.2650	2.4480	2.3000	2.2330	1.6042	3.0931	1.7574	1.9451
56.	3.4680	3.2800	2.4740	2.3320	2.2790	1.6573	3.1586	1.8115	1.9993
57.	3.4860	3.2960	2.5010	2.3650	2.3260	1.7114	3.2250	1.8662	2.0541
58.	3.5050	3.3110	2.5270	2.3970	2.3720	1.7646	3.2903	1.9194	2.1076
59.	3.5230	3.3270	2.5540	2.4300	2.4190	1.8189	3.3561	1.9730	2.1616
60.	3.5420	3.3430	2.5800	2.4620	2.4660	1.8736	3.4210	2.0255	2.2143
61.	3.5600	3.3580	2.6070	2.4940	2.5120	1.9280	3.4830	2.0748	2.2641
62.	3.5790	3.3740	2.6330	2.5270	2.5590	1.9844	3.5432	2.1220	2.3117
63.	3.5970	3.3890	2.6600	2.5590	2.6050	2.0409	3.5993	2.1644	2.3546
64.	3.6160	3.4050	2.6860	2.5910	2.6520	2.0994	3.6537	2.2042	2.3950
65.	3.6340	3.4200	2.7130	2.6240	2.6990	2.1586	3.7062	2.2417	2.4329
66.	3.6530	3.4360	2.7390	2.6560	2.7450	2.2171	3.7566	2.2775	2.4688
67.	3.6710	3.4520	2.7660	2.6880	2.7920	2.2769	3.8077	2.3155	2.5067
68.	3.6900	3.4670	2.7920	2.7210	2.8380	2.3356	3.8576	2.3550	2.5459
69.	3.7080	3.4830	2.8190	2.7530	2.8850	2.3954	3.9085	2.3984	2.5888
70.	3.7270	3.4980	2.8450	2.7850	2.9320	2.4552	3.9594	2.4439	2.6340
71.	3.7450	3.5140	2.8720	2.8180	2.9780	2.5140	4.0093	2.4897	2.6795
72.	3.7640	3.5300	2.8980	2.8500	3.0250	2.5738	4.0602	2.5371	2.7268
73.	3.7820	3.5450	2.9240	2.8830	3.0710	2.6326	4.1100	2.5837	2.7733
74.	3.8010	3.5610	2.9510	2.9150	3.1180	2.6924	4.1610	2.6315	2.8211
75.	3.8190	3.5760	2.9770	2.9470	3.1640	2.7512	4.2111	2.6785	2.8684
76.	3.8380	3.5920	3.0040	2.9800	3.2110	2.8109	4.2627	2.7269	2.9175
77.	3.8560	3.6070	3.0300	3.0120	3.2580	2.8707	4.3150	2.7762	2.9680
78.	3.8750	3.6230	3.0570	3.0440	3.3040	2.9295	4.3674	2.8258	3.0192
79.	3.8930	3.6390	3.0830	3.0770	3.3510	2.9893	4.4221	2.8777	3.0732
80.	3.9120	3.6540	3.1100	3.1090	3.3970	3.0481	4.4769	2.9299	3.1277
81.	3.9300	3.6700	3.1360	3.1410	3.4440	3.1079	4.5335	2.9839	3.1841
82.	3.9490	3.6850	3.1630	3.1740	3.4910	3.1677	4.5905	3.0383	3.2409
83.	3.9670	3.7010	3.1890	3.2060	3.5370	3.2265	4.6466	3.0918	3.2970
84.	3.9860	3.7170	3.2160	3.2380	3.5840	3.2862	4.7038	3.1464	3.3541
85.	4.0040	3.7320	3.2420	3.2710	3.6300	3.3448	4.7599	3.2000	3.4101
86.	4.0230	3.7480	3.2690	3.3030	3.6770	3.4040	4.8167	3.2543	3.4668
87.	4.0410	3.7630	3.2950	3.3360	3.7240	3.4624	4.8727	3.3081	3.5228
88.	4.0600	3.7790	3.3220	3.3680	3.7700	3.5182	4.9266	3.3600	3.5766
89.	4.0780	3.7940	3.3480	3.4000	3.8170	3.5732	4.9800	3.4117	3.6300
90.	4.0970	3.8100	3.3750	3.4330	3.8630	3.6253	5.0309	3.4614	3.6808
