         ID           RA          DEC       z       hostRA      hostDec  Rpar E(B-V) local_u-g local_u-g_min local_u-g_max global_u-g global_u-g_min global_u-g_max localmass localmass_min localmass_max globalmass globalmass_min globalmass_max localssfr localssfr_min localssfr_max globalssfr globalssfr_min globalssfr_max incl hubble_resid hubble_residerr residbiascor      c  cerr cbiascor     x1 x1err x1biascor     mb mberr mbbiascor    r_a    r_b  theta       survey
ASASSN-17at 11:38:33.683 +25:23:49.65 0.02745 11:38:33.689 +25:23:52.78 0.763    0.1     1.464         1.464         1.464      1.464          1.464          1.464     9.329         9.328         9.329     10.312         10.312         10.313   -11.334       -11.334       -11.334    -10.921        -10.921        -10.921 69.2       -0.086           0.060       -0.023 -0.001 0.034    0.004 -1.467 0.353    -0.010 16.172 0.039    -0.008 30.575  12.29 -54.99 Not_Targeted
     2003ae 09:28:22.579 +27:26:40.70 0.03493 09:28:22.593 +27:26:40.89 0.332    0.0     1.634         1.634         1.634      1.432           1.43          1.432     9.539         9.538         9.539      9.692          9.691           9.73   -11.187       -11.187       -11.187    -13.286        -13.286        -13.286 55.5       -0.162           0.131       -0.055  0.131 0.073    0.013 -1.789 0.248    -0.050 17.059 0.133    -0.006  8.595   5.07  44.61     Targeted
     2006te 08:11:42.990 +41:33:16.80 0.03295 08:11:43.465 +41:33:18.11 1.392    0.0     1.207         1.145         1.222      1.145          1.108          1.176     9.005         9.002         9.017     10.522         10.509         10.522   -10.475       -10.475       -10.475     -10.69         -10.69         -10.69 56.6       -0.013           0.083       -0.003 -0.056 0.029   -0.008 -0.132 0.083    -0.020 16.308 0.040    -0.027  26.06 14.985 -88.41     Targeted
      2007F 13:03:15.079 +50:37:07.70   0.024 13:03:16.101 +50:37:14.94 2.554    0.0     1.216         1.195         1.217      1.206          0.529          1.207     8.308         8.305         8.328      10.07          9.737         10.071    -8.838        -8.872        -8.838     -9.771         -9.771         -9.771 12.6        0.061           0.094       -0.005 -0.039 0.025   -0.004  0.537 0.042    -0.000 15.638 0.029    -0.018 26.624  26.01 -51.36     Targeted
     2003it 00:05:48.469 +27:27:09.60 0.02532 00:05:48.389 +27:26:58.06 2.085    0.0     1.498         1.498         1.506      1.464          1.464          1.464     8.622         8.618         8.653     10.725         10.725         10.725   -13.279       -22.933       -13.279    -11.402        -11.402        -11.402 55.1       -0.089           0.106       -0.030  0.049 0.033    0.006 -1.596 0.167    -0.019 16.157 0.050    -0.008 37.017 22.027   -8.4     Targeted
     2001az 16:34:27.709 +76:01:46.80 0.04094 16:34:28.835 +76:01:46.90 1.126   0.14     1.464         1.248         1.506      1.432          1.432          1.456     9.139         9.025         9.204     10.619         10.588          10.62   -31.613       -31.613       -31.613    -10.972        -10.972        -10.972 64.0        0.110           0.081        0.010 -0.068 0.030   -0.011  1.076 0.452     0.063 16.702 0.049    -0.034 25.806 12.211  54.86     Targeted
MASTERJ0134 01:34:15.046 -17:48:43.42 0.04341 01:34:14.856 -17:48:37.25 3.366   0.08     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.516         7.432         7.903      9.676          9.315          9.704     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 41.1       -0.025           0.073       -0.016 -0.063 0.043   -0.003  0.428 0.212    -0.013 16.780 0.060    -0.023 12.042  9.208 -63.36 Not_Targeted
   AT2017ns 02:49:10.373 +14:36:02.86 0.02839 02:49:10.155 +14:36:03.41 1.276    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.534         9.049         9.571     10.319         10.319         10.319     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 34.3       -0.156           0.073       -0.051  0.228 0.042    0.019 -1.074 0.321    -0.003 16.814 0.074     0.008 12.092 10.087  -9.42 Not_Targeted
     080064 03:29:42.070 -27:52:38.11  0.0656 03:29:42.063 -27:52:37.95 0.536    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.341         8.259         8.358      8.755          8.632          8.851     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 51.6       -0.025           0.083       -0.022  0.238 0.034    0.014 -0.271 0.108     0.022 18.749 0.039     0.019   5.46  3.501   -0.7 Not_Targeted
     2006bq 18:39:58.879 +39:58:56.79  0.0219 18:39:58.610 +39:58:54.66 0.636   0.18     1.455         1.455         1.455      1.473          1.473          1.474       9.9           9.9           9.9       10.8           10.8           10.8   -22.665       -22.665       -22.665    -11.764        -11.764        -11.764 43.2       -0.024           0.103       -0.030  0.063 0.028    0.006 -1.706 0.070    -0.021 15.963 0.045    -0.008 39.145 29.018 -54.51     Targeted
     2008at 10:27:12.469 +71:24:55.55 0.03519 10:27:11.391 +71:25:04.77 3.877    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.569         9.549         9.602     11.318         11.317         11.332     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 63.6       -0.175           0.114       -0.070  0.247 0.045    0.023 -1.549 0.156    -0.032 17.381 0.076     0.008 24.839 11.893   53.1     Targeted
      1994Q 16:49:51.130 +40:25:55.80 0.02878 16:49:51.141 +40:26:00.70 1.677    0.0     1.215         1.209         1.215      1.222          1.222          1.222     8.704         8.702         8.722      9.945          9.945          9.945    -8.947         -8.99        -8.947     -8.733         -8.733         -8.733 55.0       -0.104           0.099       -0.022  0.062 0.039    0.006  0.836 0.298     0.030 16.132 0.067    -0.007 20.591 12.274  -5.61     Targeted
   AT2017wb 11:01:19.499 +70:39:53.72 0.03111 11:01:19.952 +70:39:55.30 1.715   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.585         8.567         8.588       9.21          9.208          9.211     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 39.9       -0.012           0.056       -0.021  0.070 0.033    0.008  1.337 0.161     0.049 16.351 0.039    -0.003 10.324  8.033 -41.99 Not_Targeted
  SN2017cpu 14:07:52.535 +09:38:31.32 0.05499 14:07:52.709 +09:38:28.59 1.155   0.14     1.452         1.209         1.453      1.488          1.488          1.489     9.137         9.133         9.218     10.673         10.672         10.673   -31.613       -33.782       -16.889    -11.402        -11.402        -11.402 37.7       -0.256           0.090       -0.026 -0.056 0.037   -0.001  0.363 0.372    -0.024 17.102 0.042    -0.027 14.814 11.866  82.72 Not_Targeted
ASASSN-15kx 22:16:11.790 +37:28:25.70 0.01684 22:16:11.884 +37:28:28.34  0.72    0.1     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.736         9.736         9.793      10.32          10.32         10.321     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 58.4        0.381           0.079        0.004 -0.076 0.040   -0.007 -1.428 0.165    -0.003 15.346 0.096    -0.019 31.899 17.587  17.17 Not_Targeted
    PS16dnp 22:59:39.503 +02:08:59.31 0.05017 22:59:39.629 +02:08:59.05  2.57   0.16     0.776         0.486         1.432      0.844          0.158          0.887     7.782         7.538         7.846      8.392          7.335          8.544    -8.135        -8.412        -8.056     -9.752         -9.802         -9.752 37.4        0.236           0.068       -0.012 -0.066 0.036   -0.003  0.957 0.262     0.029 17.286 0.063    -0.026  2.707  2.176  27.96 Not_Targeted
     2007ob 23:12:25.990 +13:54:49.29 0.03211 23:12:25.978 +13:54:50.25 0.634    0.2     1.455         1.455         1.455      1.513          1.234          1.514     9.917         9.917         9.917     10.331          10.25         10.331   -21.221       -21.221       -21.221    -33.782        -33.782        -33.782 59.4       -0.162           0.103       -0.057  0.246 0.039    0.021 -0.541 0.262     0.008 17.057 0.083     0.007 14.264  7.661 -56.05     Targeted
     2008af 14:59:28.500 +16:39:12.30 0.03408 14:59:27.640 +16:38:42.47 4.366   0.08     1.456         1.455         1.456      1.406          1.406          1.406     7.861         7.811         7.914     11.345         11.345         11.345    -15.58        -15.58        -15.58     -42.46         -42.46         -42.46 33.4       -0.138           0.087       -0.031  0.014 0.034    0.005 -1.564 0.142    -0.023 16.652 0.063    -0.013 40.179 33.846  19.06     Targeted
     PS17tn 09:43:13.634 +41:19:02.36  0.0461 09:43:13.205 +41:18:58.78 3.018    0.0     1.261         1.238         1.361      1.633          1.614          1.641     8.949         8.905          8.99     10.664         10.617         10.677   -11.402       -11.402       -11.402    -16.167        -16.167        -16.167 24.6       -0.068           0.065       -0.044  0.035 0.034    0.009 -0.638 0.187    -0.017 17.303 0.038    -0.013  9.555  8.727  82.38 Not_Targeted
  SN2016gmb 00:34:44.658 -06:09:32.00 0.05864 00:34:44.907 -06:09:35.63 3.986   0.18     0.563         0.227         0.816      0.529          0.528          1.078     7.698         7.206         7.952       9.11          9.106          9.575    -9.018        -9.018        -8.987     -9.757         -9.781         -9.757 56.5        0.028           0.083        0.024 -0.105 0.041   -0.017  1.282 0.313     0.102 17.296 0.064    -0.044  9.679  5.575  39.25 Not_Targeted
 ATLAS17axb 13:43:23.259 -19:56:37.14 0.03142 13:43:23.034 -19:56:37.17 1.191   0.12     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0      8.87         8.864           8.9      9.843          9.842          9.844     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 38.1       -0.108           0.057       -0.010 -0.053 0.037   -0.002 -0.186 0.172    -0.012 16.116 0.071    -0.015 14.068 11.199  48.56 Not_Targeted
       2102 20:48:53.029 +00:11:28.10   0.094 20:48:53.040 +00:11:30.13 3.115    0.0     0.895         0.529         1.088      0.816          0.529          1.261     7.266         7.013         7.407      8.708          8.519          8.781    -9.381        -9.571        -9.057    -10.287        -10.287        -10.282 49.7        0.039           0.072        0.023 -0.098 0.024   -0.011  1.263 0.195     0.058 18.426 0.053    -0.019  3.244  2.154 -70.68 Not_Targeted
ASASSN-15nr 17:26:41.835 +13:54:35.20 0.02343 17:26:41.502 +13:54:35.19 1.445   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.307         9.307         9.307     10.271         10.271         10.271     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 12.1       -0.104           0.060       -0.015  0.047 0.038    0.006  1.315 0.212     0.031 15.569 0.080    -0.001  14.89  14.57 -64.54 Not_Targeted
  AT2016gsu 01:08:24.587 +21:09:05.84 0.07585 01:08:24.515 +21:09:06.30 1.029   0.16     0.802         0.802         0.831       0.96          0.945          1.019     9.518         9.516         9.541     10.504         10.471         10.537    -8.412        -8.412        -8.374    -10.327        -10.327         -9.611 32.1        0.047           0.120       -0.019 -0.111 0.046   -0.024 -1.886 0.550    -0.209 18.301 0.051    -0.066  8.013  6.844 -31.45 Not_Targeted
ASASSN-16ct 15:13:54.314 +04:45:26.12  0.0435 15:13:54.296 +04:45:25.75 0.481   0.06     1.406         1.406         1.418       1.43          1.417          1.456     9.096         9.082         9.098      9.316          9.287          9.331    -15.58        -15.58       -11.987      -14.0          -14.0          -14.0 38.0       -0.064           0.064       -0.017 -0.001 0.033    0.005  1.383 0.171     0.083 16.805 0.045    -0.012   5.93  4.729 -78.31 Not_Targeted
      2007O 14:56:05.179 +45:24:16.89 0.03715 14:56:04.347 +45:24:18.97 1.302   0.04     1.215         1.209         1.215      0.805          0.805          0.805     8.976         8.975         8.983     10.886         10.886         10.886    -8.733        -8.733        -8.704    -10.429        -10.429        -10.429 47.3       -0.180           0.079       -0.021 -0.018 0.028    0.001 -0.566 0.079    -0.008 16.572 0.035    -0.016 31.196 21.632   4.06     Targeted
ASASSN-15ss 06:12:33.385 -14:15:26.93 0.03619 06:12:34.825 -14:15:27.97 3.649    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0       8.2         7.782         8.227     10.842         10.842         10.842     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 56.7        0.017           0.069        0.007 -0.092 0.047   -0.011  0.729 0.258    -0.000 16.324 0.131    -0.028 28.061 16.091  26.91 Not_Targeted
     2003cq 11:56:14.170 +60:31:19.09 0.03417 11:56:10.320 +60:31:21.34 4.617    0.1     1.078         1.021         1.114      1.079          1.079          1.079     8.375         8.361         8.408     11.391          11.39         11.391    -9.177        -9.177         -9.13     -10.42         -10.42         -10.42 38.6        0.020           0.122       -0.033  0.074 0.051    0.008 -0.735 0.166     0.000 16.887 0.061    -0.007 29.898 23.649  48.06     Targeted
ASASSN-16dw 13:30:00.774 -27:58:26.18 0.03464 13:30:01.222 -27:58:29.57 2.061   0.06     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.099         9.077          9.11      10.28         10.279          10.28     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 40.9       -0.144           0.056       -0.036  0.085 0.033    0.009 -0.225 0.150    -0.020 16.712 0.046    -0.004 18.058 13.843  23.03 Not_Targeted
     2005mc 08:27:06.360 +21:38:45.60  0.0264 08:27:05.957 +21:38:43.21 0.805    0.2      1.43          1.43         1.431      1.622          1.622          1.623      9.35          9.35          9.35     11.046         11.046         11.046     -99.0         -99.0         -99.0    -11.187        -11.187        -11.187 28.8       -0.013           0.100       -0.081  0.235 0.030    0.022 -2.675 0.122    -0.211 17.016 0.040     0.017 40.639 35.811 -30.69     Targeted
ASASSN-15pr 23:06:39.489 -12:34:21.97 0.03307 23:06:39.645 -12:34:23.07 1.027   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.916         8.903         8.929      9.881          9.869          9.888     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 38.5        0.200           0.067       -0.015 -0.041 0.038    0.000 -0.729 0.144     0.001 16.649 0.047    -0.014 12.591  9.975 -39.97 Not_Targeted
     350316 08:45:52.569 +43:49:07.83 0.07977 08:45:52.696 +43:49:06.26 2.225    0.0      1.32          1.15         1.359      1.368          1.353          1.368     7.981         7.935         8.018      9.008          8.989          9.014   -11.714       -11.714       -11.714    -11.714        -11.714         -9.901 66.8       -0.078           0.064        0.005 -0.066 0.027   -0.003 -0.447 0.098    -0.016 18.254 0.037    -0.003  6.746  2.937  71.89 Not_Targeted
    PS15cze 03:47:23.429 +00:52:38.02 0.04086 03:47:23.374 +00:52:31.82 1.353   0.16     1.464          1.43         1.498      1.696          1.696          1.696     9.196         9.189         9.209      10.81         10.809          10.81   -25.549         -99.0       -25.549     -9.984         -9.984         -9.984 29.4        0.314           0.083       -0.045  0.045 0.045    0.010 -1.506 0.243    -0.029 17.567 0.118    -0.011 20.494 17.972 -69.18 Not_Targeted
     2004ey 21:49:07.810 +00:26:39.19 0.01531 21:49:07.303 +00:26:50.43 2.846   0.04     1.195         1.195         1.207      1.222          1.222          1.222      8.55         8.515          8.55      9.959          9.959           9.96   -10.033       -10.033       -10.033    -10.468        -10.468        -10.468 53.2       -0.022           0.127        0.072 -0.136 0.026   -0.048  0.082 0.024    -0.026 14.398 0.073    -0.076 33.608  20.86  16.46     Targeted
ASASSN-15od 02:23:13.187 -04:31:01.86 0.01703 02:23:13.236 -04:31:00.63 0.305   0.04     1.417         1.417         1.418      1.206          1.206          1.206     9.156         9.156         9.156       9.72          9.719           9.72   -10.683       -10.683       -10.683     -9.861         -9.861         -9.861 54.5        0.125           0.077        0.008 -0.082 0.034   -0.009 -1.053 0.150     0.001 15.046 0.040    -0.020 31.637 19.093 -61.32 Not_Targeted
     2007co 18:23:03.600 +29:53:49.59 0.02753 18:23:04.170 +29:54:05.30 3.312    0.1     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.192         8.178         8.211     10.044         10.044         10.045     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 19.6       -0.083           0.089       -0.033  0.084 0.030    0.008 -0.220 0.064    -0.014 16.264 0.065    -0.007 27.207  25.69 -65.38     Targeted
    PS15aii 12:44:45.540 +09:45:34.82 0.04782 12:44:45.626 +09:45:26.80 2.178    0.1      1.15          1.06          1.22      0.862          0.861          0.862     8.563         8.534         8.581     10.902         10.902         10.903    -8.704        -8.704        -8.651    -10.232        -10.232        -10.232 50.3        0.045           0.057       -0.024 -0.049 0.032   -0.001  0.325 0.148    -0.020 17.119 0.038    -0.023 22.227 14.599 -27.24 Not_Targeted
     380046 09:57:20.401 +03:04:12.52 0.09957 09:57:20.458 +03:04:13.20 1.464   0.12     1.406         1.405          1.43      1.209          1.209          1.221      8.94         8.925         8.964      9.616          9.586          9.689   -33.772       -33.772       -11.177    -10.776         -11.12        -10.776 32.7        0.064           0.074       -0.036  0.227 0.031    0.017  0.368 0.406     0.036 19.671 0.039     0.014  4.303  3.651 -23.02 Not_Targeted
     2006sr 00:03:35.020 +23:11:46.20 0.02386 00:03:35.000 +23:12:03.01 2.168    0.2     0.529         0.528         0.529      1.442          1.442          1.442     8.134         8.131         8.137     10.772         10.772         10.772    -8.056        -8.056        -8.047    -11.136        -11.136        -11.136 54.6       -0.048           0.100       -0.023  0.011 0.031    0.004 -1.425 0.117    -0.010 15.932 0.058    -0.010   35.8 21.541 -70.26     Targeted
      PS16n 05:03:43.984 +03:24:45.03 0.05321 05:03:43.832 +03:24:42.78 2.524   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.112         9.089         9.184     10.326         10.296         10.327     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 56.1        0.025           0.073       -0.027 -0.054 0.041   -0.002 -0.261 0.198    -0.042 17.401 0.062    -0.027    9.7  5.641 -64.56 Not_Targeted
 ATLAS16dqf 21:09:07.888 -18:06:14.04 0.02028 21:09:07.594 -18:06:14.32 3.359    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.726         8.712          8.76      7.633          7.613          7.641     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 51.2        0.051           0.089       -0.027  0.127 0.058    0.010  0.851 0.251     0.006 15.710 0.086     0.002  5.497  3.548  12.74 Not_Targeted
     1999cc 16:02:42.030 +37:21:34.40 0.03144 16:02:40.547 +37:21:34.63 1.686    0.2     0.529         0.529         1.456      1.206          1.206          1.207      8.27         8.264         8.729     10.958         10.958         10.958    -10.42        -10.42        -10.42     -10.69         -10.69         -10.69 26.4       -0.036           0.083       -0.025 -0.006 0.026    0.002 -1.606 0.075    -0.024 16.524 0.031    -0.014   43.4 39.062 -15.71     Targeted
     2003ic 00:41:50.230 -09:18:19.00 0.05586 00:41:50.466 -09:18:10.94 1.144    0.2     1.282         1.221         1.313      1.236          1.235          1.236     9.462         9.436         9.465     11.809         11.809         11.809   -25.556         -99.0        -13.92     -9.968         -9.968         -9.968 41.4       -0.384           0.078       -0.051 -0.020 0.034    0.004 -1.753 0.203    -0.070 17.397 0.039    -0.027 45.993  35.03  52.65     Targeted
    PS16fbb 00:07:03.141 -20:41:48.51 0.05122 00:07:02.905 -20:41:49.81 2.005    0.2     0.529         0.528          1.17       0.83          0.529          1.004     7.957         7.929         8.266      9.384          9.021           9.54    -9.575        -9.901        -9.575     -8.987         -9.018         -8.987 65.9        0.253           0.072        0.014 -0.112 0.037   -0.018  0.725 0.300     0.002 17.263 0.040    -0.044 11.981  5.356 -18.61 Not_Targeted
      2004L 10:27:04.109 +16:01:07.29 0.03379 10:27:03.945 +16:01:04.55 0.773    0.0     1.556         1.555         1.556      1.193          1.192          1.193     9.532         9.532         9.533     10.658         10.657         10.658   -10.905       -10.905       -10.905     -10.42         -10.42         -10.42 24.7       -0.123           0.099       -0.053  0.199 0.033    0.017 -1.146 0.258    -0.001 17.149 0.044    -0.001 27.553  25.14  37.94     Targeted
ASASSN-16ip 02:27:21.766 -23:55:43.25 0.01698 02:27:21.811 -23:55:43.46 0.079    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.051         9.051         9.051     10.056         10.055         10.077     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 36.0       -0.048           0.074       -0.014 -0.018 0.033    0.003 -0.913 0.114     0.001 15.027 0.039    -0.006 22.534 18.419  -29.0 Not_Targeted
  SN2016gfr 18:19:35.594 +23:47:10.28 0.01672 18:19:35.668 +23:47:14.16 1.263   0.14     1.417         1.417         1.418      1.456          1.432          1.456     9.392         9.375         9.392      9.848          9.847          9.878   -20.774       -20.774       -20.774    -12.568        -12.568        -12.568 53.4       -0.287           0.075       -0.013 -0.009 0.036    0.003  0.221 0.136    -0.005 14.623 0.080    -0.004 20.174 12.451  -50.8 Not_Targeted
ASASSN-15fa 17:09:46.023 +62:58:27.49 0.02726 17:09:44.078 +62:58:23.26 2.299    0.2     1.214          0.93         1.488      1.209          1.209           1.21     8.665          8.56         8.975     10.862         10.862         10.862   -11.402       -11.402       -11.402    -11.065        -11.065        -11.065 30.8        0.179           0.056       -0.024  0.068 0.032    0.007  1.003 0.259     0.017 16.290 0.038    -0.002  31.74 27.449  71.96 Not_Targeted
      2010Y 10:51:03.900 +65:46:46.99 0.01228 10:51:02.958 +65:46:53.80 2.106   0.16     1.488         1.488         1.489      1.442          1.442          1.442     8.937         8.937          9.08      10.02         10.019          10.02    -17.61       -33.782        -17.61    -19.054        -19.054        -19.054 44.0        0.202           0.162       -0.010 -0.031 0.032   -0.004 -2.534 0.085    -0.059 14.758 0.037    -0.013 28.662 21.011  28.05     Targeted
    PS15coh 02:15:58.438 +12:14:13.75  0.0184 02:15:58.435 +12:14:14.30  1.06   0.18     0.529         0.528         0.529      0.529          0.528          0.529     8.167         8.165          8.17      8.191          8.187          8.192    -8.287        -8.296         -8.28      -8.28          -8.28         -8.275 55.0        0.014           0.069       -0.006 -0.025 0.037    0.001  1.386 0.102     0.024 14.928 0.082    -0.005  5.905  3.525  32.38 Not_Targeted
ASASSN-15jt 13:08:09.074 +27:49:35.03 0.02221 13:08:09.121 +27:49:35.76 0.239   0.18     1.417         1.417         1.417      1.406          1.406          1.406     9.593         9.593         9.593     10.052         10.052         10.052   -16.889       -16.889       -16.889    -11.187        -11.187        -11.187 42.0        0.189           0.063       -0.055  0.207 0.037    0.016 -2.319 0.137    -0.063 16.721 0.042     0.005 19.436 14.677  85.99 Not_Targeted
ASASSN-15pm 01:38:36.096 -04:40:47.27 0.04853 01:38:36.728 -04:40:57.69 4.339    0.0     1.432         1.399         1.456      1.243          1.243          1.243       7.8         7.788         7.828     10.667         10.667         10.668   -15.569       -15.569       -15.569    -10.483        -10.483        -10.483 68.7       -0.198           0.066       -0.029 -0.039 0.033    0.001 -0.030 0.195    -0.031 16.983 0.039    -0.021 26.801 10.925    6.1 Not_Targeted
  SN2017cjv 10:10:45.647 -03:46:39.07 0.06106 10:10:45.609 -03:46:43.91 1.752    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.938         8.781         8.971     10.812         10.812         10.813     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 39.1       -0.045           0.093       -0.008 -0.097 0.039   -0.015 -1.441 0.340    -0.059 17.694 0.043    -0.048 13.061 10.264 -63.35 Not_Targeted
      2008Y 11:19:30.570 +54:27:46.19 0.07065 11:19:30.818 +54:27:39.11 2.327   0.18     1.182         1.021         1.369      1.209          1.209          1.214     8.561         8.507         8.601     10.818         10.803         10.819   -10.327       -10.327       -10.327     -10.63         -10.63         -10.63 51.8       -0.143           0.071       -0.150  0.087 0.035    0.033 -0.608 0.205    -0.133 18.261 0.036    -0.025 20.434 13.036  23.49     Targeted
  SN2016ayg 07:30:17.384 +25:01:55.39 0.04343 07:30:17.273 +25:01:54.14 3.722    0.2     0.529         0.529         1.251      1.182          0.529          1.368     7.486         7.475         7.834      8.358          8.047          8.385    -9.988        -9.988        -9.988     -9.851        -12.723         -9.851 50.0        0.118           0.064        0.008 -0.104 0.035   -0.016 -0.268 0.174    -0.024 16.918 0.047    -0.038  3.821  2.524   48.7 Not_Targeted
   AT2017yk 09:44:31.790 -12:18:29.37 0.04685 09:44:32.131 -12:18:23.32  2.71    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.219         7.759         8.354     10.421          10.42         10.421     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 42.0        0.195           0.099       -0.067  0.153 0.041    0.020 -0.661 0.575    -0.040 17.954 0.052     0.001 16.104 12.162    9.5 Not_Targeted
      2008C 06:57:11.530 +20:26:13.70 0.01725 06:57:11.679 +20:26:14.58 0.522    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.805         9.805         9.805     10.434         10.434         10.434     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 68.1       -0.109           0.124       -0.026  0.116 0.031    0.008 -0.726 0.118     0.006 15.384 0.059    -0.000 38.153 15.875 -27.23     Targeted
  AT2016htm 02:32:02.614 -26:39:57.40 0.04289 02:32:01.357 -26:39:56.56 4.232   0.06     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.271         6.862         7.404     10.196         10.195         10.197     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 32.4       -0.060           0.059       -0.015 -0.064 0.032   -0.003 -0.483 0.219    -0.016 16.846 0.037    -0.024  16.68 14.203  10.74 Not_Targeted
  SN2017ckx 07:48:10.893 +28:13:50.55 0.02837 07:48:10.962 +28:13:49.29  0.65    0.0     1.462         1.461         1.462       1.22           1.22          1.221    10.466        10.466        10.467     10.472         10.472         10.473   -11.065       -11.065       -11.065    -11.065        -11.065        -11.065 64.5        0.172           0.116        0.001 -0.006 0.040    0.004  1.979 0.570     0.088 16.026 0.049     0.001 15.369  7.171  -8.16 Not_Targeted
      17240 00:34:33.829 -01:13:03.29 0.07182 00:34:33.988 -01:12:57.40 3.531    0.2      1.25         1.176         1.464      1.262          1.249          1.303     8.667         8.578         8.962      10.89         10.833         10.891     -99.0         -99.0         -99.0     -9.891         -9.891         -9.891 44.2       -0.175           0.102        0.026 -0.116 0.051   -0.014 -1.454 0.326    -0.015 17.923 0.097    -0.017  10.42  7.606 -61.34 Not_Targeted
     2000cf 15:52:56.189 +65:56:12.69 0.03733 15:52:55.684 +65:56:08.45 2.057    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.074         8.072         8.447        9.6          9.599          9.602     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 64.3        0.070           0.075       -0.019 -0.025 0.027    0.000 -0.522 0.085    -0.010 16.808 0.037    -0.017  23.46  11.03  52.69     Targeted
PSNJ0153424 01:53:42.413 +29:56:10.62 0.02565 01:53:42.246 +29:55:59.68 1.772   0.02     1.473         1.464         1.486      1.473          1.473          1.474     8.818         8.807         8.821      10.66          10.66          10.66    -10.69        -10.69        -9.116      -9.06          -9.06          -9.06 25.5       -0.004           0.049       -0.027  0.077 0.033    0.008 -0.548 0.096    -0.003 16.215 0.046    -0.002  27.55 24.977 -75.79 Not_Targeted
     PS16fa 10:19:16.627 +04:45:42.14 0.04748 10:19:17.625 +04:45:46.96 3.322    0.2     0.869         0.158         1.078      1.222          1.222          1.222     7.864         6.845         7.956     10.759         10.759         10.759    -9.312        -9.312         -9.29     -8.889         -8.889         -8.889 51.4        0.075           0.057       -0.039  0.005 0.032    0.007 -0.641 0.114    -0.018 17.423 0.038    -0.015 21.266 13.689  -3.73 Not_Targeted
     2002ha 20:47:18.580 +00:18:45.60 0.01268 20:47:19.061 +00:19:14.93 2.983    0.0     0.529         0.528         0.529      1.481          1.481          1.481     8.024         8.022         8.026     10.966         10.966         10.966    -9.071        -9.071        -9.071     -9.568         -9.568         -9.568 32.0        0.103           0.156       -0.001 -0.047 0.031   -0.006 -1.376 0.078    -0.008 14.525 0.061    -0.020 51.977 44.415 -17.49     Targeted
     2008bw 18:26:50.440 +51:08:16.41 0.03351 18:26:49.851 +51:08:21.07 1.308   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.955         8.953          8.98     10.334         10.333         10.334     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 34.2        0.019           0.136        0.162 -0.181 0.062   -0.106 -1.550 0.250    -0.136 16.348 0.115    -0.153 34.444 28.756 -63.18     Targeted
