         ID           RA          DEC       z       hostRA      hostDec  Rpar E(B-V) local_u-g local_u-g_min local_u-g_max global_u-g global_u-g_min global_u-g_max localmass localmass_min localmass_max globalmass globalmass_min globalmass_max localssfr localssfr_min localssfr_max globalssfr globalssfr_min globalssfr_max incl hubble_resid hubble_residerr residbiascor      c  cerr cbiascor     x1 x1err x1biascor     mb mberr mbbiascor    r_a    r_b  theta       survey
ASASSN-16ad 01:39:32.056 +33:49:36.38 0.01512 01:39:31.099 +33:49:28.11 3.598    0.2     0.529         0.528         1.392      0.529          0.528          0.529     7.631         7.628         7.981      8.891           8.89          8.893   -10.029       -10.029       -10.029     -9.116         -9.116         -9.116 41.2        0.095           0.081       -0.018  0.032 0.031    0.005  0.236 0.079    -0.006 14.907 0.044    -0.001 21.078 16.107 -85.32 Not_Targeted
  iPTF16auf 14:31:09.227 +27:14:09.66 0.01541 14:31:09.025 +27:14:13.92 1.619   0.08     0.529         0.528         0.529      0.529          0.528          0.529     8.334         8.333         8.335       9.08          9.079          9.081    -7.586        -7.586        -7.586      -9.11          -9.11          -9.11 50.9        0.153           0.076       -0.021  0.058 0.030    0.007  0.298 0.095    -0.006 15.076 0.035     0.000 20.751 13.487   -8.9 Not_Targeted
ASASSN-16oz 09:00:13.351 -13:38:02.25 0.03181 09:00:13.262 -13:38:02.81 1.301   0.04     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.038         7.635         8.067      7.918          7.907          7.963     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 53.3       -0.189           0.130       -0.007 -0.028 0.036    0.001  1.473 0.200     0.049 15.912 0.050    -0.009  7.297  4.515  36.53 Not_Targeted
  AT2016cvw 22:46:12.793 +10:33:31.84 0.03825 22:46:12.395 +10:33:25.75 1.832    0.0     1.772         1.751          1.78      1.785          1.785          1.785     9.319         9.297         9.336     11.298         11.298         11.298   -11.832       -11.832       -11.617    -13.056        -13.056        -13.056 25.4       -0.085           0.077       -0.043  0.041 0.041    0.008 -1.803 0.189    -0.045 17.071 0.063    -0.010 22.585 20.487 -10.21 Not_Targeted
     420100 22:12:25.276 +00:51:05.10 0.09642 22:12:25.266 +00:51:05.11 0.427   0.14     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0    10.196        10.195        10.196     10.849         10.728          10.85     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 28.3       -0.046           0.140        0.057 -0.141 0.092   -0.032 -1.965 0.421    -0.118 18.751 0.154    -0.027  5.376  4.762 -11.31 Not_Targeted
     2007hu 16:56:29.887 +27:58:39.74 0.03579 16:56:30.522 +27:58:39.47 0.771   0.06     1.838         1.837         2.016      1.826          1.826          1.826      9.99         9.968         9.995     11.541         11.541         11.542   -10.637       -10.637       -10.637    -13.488        -13.488        -13.488 65.2       -0.046           0.139       -0.061  0.228 0.066    0.020 -1.327 0.467    -0.011 17.465 0.136     0.004 43.153 19.745  -4.88     Targeted
     2006mp 17:12:00.199 +46:33:20.80 0.02208 17:11:59.051 +46:33:24.06  2.04   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.688         7.665          7.69       9.22          9.219          9.221     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 65.0        0.220           0.104       -0.015  0.025 0.027    0.004  0.911 0.153     0.031 15.749 0.035    -0.006  28.32 13.026  -0.07     Targeted
ASASSN-15fs 18:58:40.781 +43:28:07.94 0.02922 18:58:40.666 +43:28:06.57 0.639   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0      9.52          9.52          9.52     10.412         10.411         10.433     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 58.2       -0.219           0.046       -0.021  0.006 0.033    0.004  0.038 0.149    -0.010 15.989 0.058    -0.006  24.12  13.35  -49.6 Not_Targeted
     2001gb 09:59:00.959 +17:49:12.39 0.02673 09:59:00.179 +17:49:02.41 2.208    0.2     0.529         0.529          1.17      1.248          1.248          1.249     8.005         8.001         8.406     10.525         10.525         10.525    -9.925        -9.925        -9.925    -10.182        -10.182        -10.182 34.7       -0.041           0.129       -0.028  0.069 0.048    0.007 -0.656 0.217    -0.000 16.258 0.075    -0.006 32.417 26.891   5.58     Targeted
ASASSN-16em 13:32:13.557 +84:40:41.96  0.0239 13:32:13.238 +84:40:42.99 1.054    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.842         8.841         8.873      8.993          8.991          9.019     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 62.3        0.012           0.057       -0.025  0.062 0.037    0.007  0.427 0.147    -0.006 15.893 0.082    -0.002  7.941  3.952  86.91 Not_Targeted
     2008ar 12:24:37.919 +10:50:17.40 0.02882 12:24:37.548 +10:50:20.57 1.645   0.12     1.417         1.234          1.43      1.206          1.206          1.206     8.999         8.993         9.011     10.328         10.328         10.329   -10.123       -10.123       -10.093     -10.63         -10.63         -10.63 41.9       -0.069           0.086       -0.011 -0.034 0.027   -0.003  0.020 0.071    -0.016 15.994 0.035    -0.019 24.804 18.769  67.96     Targeted
     2008ds 00:29:50.830 +31:23:33.89 0.02123 00:29:53.387 +31:23:36.03 3.999    0.0     1.406         1.234         1.455      1.417          1.248          1.418     7.774          7.74         7.804      10.14         10.128          10.14   -10.418       -10.418       -10.316     -8.889         -8.889         -8.889 54.0       -0.068           0.117        0.026 -0.063 0.061   -0.010  1.335 0.418     0.083 15.081 0.114    -0.016 35.521 21.663 -13.06     Targeted
     490007 12:17:04.277 +46:37:38.91 0.05496 12:17:04.432 +46:37:36.84 1.288    0.0      1.06         0.529         1.068      0.529          0.528          0.529     8.601         8.164         8.614       9.23          9.228          9.232    -8.495         -8.53        -8.495     -8.151         -8.151         -8.151 16.5        0.037           0.068       -0.006 -0.019 0.033    0.002 -0.229 0.086    -0.006 17.614 0.038     0.000  9.166  8.802 -68.58 Not_Targeted
   AT2017oz 14:06:41.539 +30:19:07.77  0.0561 14:06:41.533 +30:19:06.72 0.714   0.16     1.456         1.455         1.456      1.344          1.234          1.418     9.397         9.396         9.397      9.844          9.825          9.917   -11.607       -11.607       -11.607    -10.483        -10.483        -10.483 30.0       -0.044           0.106       -0.043 -0.020 0.052    0.005 -0.059 0.326    -0.045 17.516 0.053    -0.021  5.233  4.562  85.32 Not_Targeted
   SN2017jl 00:57:31.891 +30:11:06.84 0.01524 00:57:31.528 +30:11:09.55 2.109   0.06     1.442         1.417         1.456       1.43          1.222          1.431     8.579         8.529         8.596       9.22          9.205          9.221   -11.421       -18.168       -11.421    -10.766        -10.766        -10.766 47.3       -0.210           0.095       -0.015  0.012 0.033    0.004  0.646 0.143    -0.003 14.499 0.054    -0.001 16.871 11.697 -24.05 Not_Targeted
ASASSN-16hz 23:15:45.481 -01:20:22.60 0.02479 23:15:45.631 -01:20:13.68 2.393   0.02     1.503         1.344         1.528      1.244          1.243          1.495     9.044         9.007         9.081     10.197         10.196         10.209    -10.63        -10.63        -9.116    -10.921        -10.921        -10.921 69.1       -0.160           0.051       -0.028  0.088 0.032    0.008 -0.244 0.149    -0.010 15.974 0.042    -0.000 22.765  9.174 -77.32 Not_Targeted
      12779 20:37:53.250 +01:13:15.99 0.07883 20:37:53.413 +01:13:09.98 1.942   0.02     1.456         1.455         1.456      0.945          0.916          0.955     8.306         8.282         8.345     10.745         10.743         10.767    -8.273        -8.273        -8.181    -18.175        -19.041        -12.568 32.9        0.080           0.085       -0.012  0.108 0.032    0.010 -0.619 0.263    -0.008 18.939 0.067     0.021 15.227 12.896   3.23 Not_Targeted
     2007is 16:47:14.590 +40:14:36.89 0.02841 16:47:14.778 +40:14:42.07 1.243   0.14     1.222         1.216         1.243      1.206          1.206          1.207       9.3         9.285          9.31     10.732         10.732         10.732   -10.776       -10.776       -10.776    -10.905        -10.905        -10.905 69.4       -0.104           0.101       -0.026  0.038 0.032    0.005 -0.411 0.184    -0.009 16.200 0.039    -0.008 42.703   17.0  54.25     Targeted
  AT2017cfd 08:40:49.065 +73:29:15.14 0.01271 08:40:50.332 +73:29:12.23  1.34    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.844         9.844         9.845       10.5           10.5           10.5     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 69.0       -0.080           0.105       -0.021  0.064 0.033    0.007 -0.513 0.119    -0.001 14.553 0.039    -0.000 45.417 18.361  53.91 Not_Targeted
      18241 20:49:33.059 -00:45:42.19  0.0939 20:49:32.994 -00:45:42.84 1.869   0.02     1.089         0.816         1.418      1.037          1.004           1.16     8.607         8.479         8.711      9.513          9.463          9.768    -9.656       -10.083        -9.656    -10.528        -10.679        -10.528 35.6        0.187           0.146        0.013 -0.077 0.027   -0.009 -1.119 0.128    -0.018 18.951 0.052    -0.012  3.712  3.048  -31.0 Not_Targeted
