#Table J_ApJ_700_1097_table3:
#Name: J/ApJ/700/1097/table3
#Title: MLCS31 light curve fit parameters
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    Delta              (F6.3)  Light curve shape parameter {Delta} [ucd=stat.fit.param]
#    e_Delta            (F6.3)  Uncertainty in Delta [ucd=stat.error;pos.eq.dec]
#    AV (mag)           (F6.3)  Host-galaxy extinction parameter in V band [ucd=phys.absorption;em.opt.V]
#    e_AV (mag)         (F6.3)  Uncertainty in AV [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------------------ --------- --------- ------ ------ ------ ------
#                                  n                                                                                               
#                                  _                                                                                               
#_RAJ200     _DEJ200               I               mu     e_mu                                                 e      AV     e_AV  
RA          DEC         ID        I zCMB   e_zCMB mu     e_mu   SimbadName         RA_deg    DEC_deg   Delta  e_Delt AV     e_AV 
22:15:25.45 -17:14:42.6 04D4dm    4  0.811  0.001 43.917  0.233 SNLS04D4dm         333.85606 -17.24516 -0.169  0.190  0.118  0.114
12:36:49.76 +62:13:13.1 2002dc    4  0.475  0.010 42.355  0.274 SN2002dc           189.20732 +62.22030  0.184  0.183  0.195  0.208
12:36:55.35 +62:12:46.1 2002dd    4  0.950  0.010 44.075  0.288 SN2002dd           189.23062 +62.21281 -0.254  0.125  0.230  0.203
12:37:20.75 +62:13:41.5 Eagle     4  1.020  0.010 44.418  0.222 [RSC2007]HST04Eag  189.33646 +62.22819 -0.129  0.148  0.170  0.155
12:36:25.10 +62:15:23.8 Ferguson  4  1.020  0.010 44.094  0.330 [RSC2007]HST05Fer  189.10458 +62.25662  0.062  0.183  0.278  0.258
12:36:13.83 +62:12:07.6 Gabi      4  1.120  0.010 44.637  0.192 [RSC2007]HST05Gab  189.05762 +62.20210 -0.100  0.136  0.118  0.113
12:36:22.92 +62:18:23.2 Koekemoer 3  1.230  0.010 45.026  0.271 [RSC2007]HST05Koe  189.09550 +62.30644 -0.015  0.176  0.112  0.125
12:36:56.72 +62:12:53.3 Lancaster 4  1.230  0.010 45.109  0.247 [RSC2007]HST05Lan  189.23633 +62.21481  0.011  0.280  0.363  0.221
12:36:34.85 +62:15:48.9 Manipogo  4  0.854  0.010 43.897  0.243 [RSC2007]HST04Man  189.14522 +62.26357  0.116  0.157  0.136  0.149
03:32:10.02 -27:49:50.0 Mcguire   4  1.370  0.010 45.196  0.189 [RSC2007]HST04Mcg  053.04175 -27.83055 -0.255  0.109  0.105  0.098
03:32:25.34 -27:45:03.0 Ombo      4  0.975  0.010 44.378  0.202 [RSC2007]HST04Omb  053.10558 -27.75084 -0.372  0.078  0.182  0.151
12:38:09.00 +62:18:47.2 Patuxent  4  0.970  0.010 44.385  0.323 [RSC2007]HST04Pat  189.53750 +62.31312  0.026  0.251  0.139  0.157
