#Table J_ApJ_659_122_table1:
#Name: J/ApJ/659/122/table1
#Title: Supernova and host galaxy data
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    SN                 (a6)    Supernova designation \linkRole{Data from the Asiago SN catalog (B/sn)} [ucd=meta.id;meta.main]
#    GLON (deg)         (F6.2)  Galactic longitude of host galaxy [ucd=pos.galactic.lon]
#    GLAT (deg)         (F6.2)  Galactic latitude of host galaxy [ucd=pos.galactic.lat]
#    cz (km/s)          (I5)    Heliocentric cz radial velocity of host galaxy [ucd=spect.dopplerVeloc;pos.heliocentric]
#    czLG (km/s)        (I5)    LG cz radial velocity of host galaxy [ucd=spect.dopplerVeloc]
#    czCMB (km/s)       (I5)    CMB cz radial velocity of host galaxy [ucd=spect.dopplerVeloc;pos.cmb]
#    MType              (a6)    Morphological type of host galaxy [ucd=src.morph.type]
#    Xpos (arcsec)      (F6.1)  Supernova offset relative to host galaxy nucleus, in North direction [ucd=pos.angDistance;arith.diff]
#    Ypos (arcsec)      (F6.1)  Supernova offset relative to host galaxy nucleus, in East direction [ucd=pos.angDistance;arith.diff]
#    t1 (d)             (F5.1)  Epoch of the first photometric observation, relative to B maximum light, in the SN rest frame [ucd=time.epoch;obs]
#    Filter             (a5)    Filters used [ucd=instr.bandpass]
#    E(B-V) (mag)       (F6.3)  Milky Way dust reddening, from Schlegel et al. (1998ApJ...500..525S) [ucd=phot.color.excess]
#    Ref                (a11)   References, in refs.dat file [ucd=meta.ref;meta.file]
#    Simbad             (a6)    ask the {\bf\fg{FireBrick}Simbad} data-base about this object [ucd=]
#    _RA (deg)          (F9.5)  Right Ascension (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Declination (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.dec;meta.main]
#----------- ----------- ------ ------ ------ ----- ----- ----- ------ ------ ------ ----- ----- ------ ----------- ------ --------- ---------
#                                                   c     cz           X      Y                                                               
#_RAJ200     _DEJ200            GLON   GLAT   cz (  zLG ( CMB (        pos (a pos (a t     F     E(B-V)                                       
RA          DEC         SN     GLON   GLAT   cz    czLG  czCMB MType  Xpos   Ypos   t1    Filt  E(B-V) Ref         Simbad RA_deg    DEC_deg
03:43:01.90 -53:37:56.8 1992bk 265.01 -48.90 17418 17229 17372 E        21.1   11.9   8.6 BVI    0.015 8           Simbad 055.75792 -53.63244
23:15:13.09 -44:44:35.7 1992bl 344.12 -63.90 13101 13076 12871 S0/Sa   -21.8   15.3   3.1 BVI    0.011 8           Simbad 348.80454 -44.74325
01:21:58.44 -34:12:43.5 1992bo 261.88 -80.30  5666  5636  5435 E/S0    -54.7  -47.3  -7.5 BVRI   0.027 8           Simbad 020.49350 -34.21208
03:36:37.95 -18:21:13.7 1992bp 208.83 -51.00 23773 23704 23646 E/S0     -1.4   -5.4  -1.6 BVI    0.069 8           Simbad 054.15812 -18.35381
01:45:44.83 -56:05:57.9 1992br 288.01 -59.40 26442 26306 26319 E        -6.3    3.6   1.8 BV     0.026 8           Simbad 026.43679 -56.09942
03:29:27.20 -37:16:18.9 1992bs 240.02 -55.33 19097 18965 18998 Sb        3.6   -9.0   2.5 BV     0.011 8           Simbad 052.36333 -37.27192
10:34:51.38 -34:26:30.0 1993B  273.32  20.46 20866 20563 21191 Sb        5.4    0.9   3.6 BVI    0.079 8           Simbad 158.71408 -34.44167
13:52:50.34 -30:42:23.3 1993H  318.22  30.33  7165  6962  7430 Sb       12.3    1.0  -1.1 BVRI   0.060 8,10        Simbad 208.20975 -30.70647
22:57:52.86 -35:51:26.8 1993L    5.95 -64.37  1858  1885  1587 Sc        1.4  -25.0  17.3 BVRI   0.014 10          Simbad 344.47025 -35.85744
13:31:07.87 -33:12:50.5 1993O  312.41  28.92 15289 15065 15567 E/S0      8.4  -14.1  -6.3 BVI    0.053 8           Simbad 202.78279 -33.21403
05:46:23.58 +63:22:07.1 1993ac 149.70  17.21 14800 14959 14784 E        31.0   -5.3   7.0 BVRI   0.163 15          Simbad 086.59825 +63.36864
01:29:48.91 -01:58:37.1 1993ae 144.62 -63.22  5712  5820  5410 E        22.7   16.1  13.8 BVRI   0.038 15          Simbad 022.45379 -01.97697
10:03:35.00 -35:27:47.6 1993ag 268.43  15.92 14690 14382 15003 E/S0     -6.1   -5.0  -1.7 BVI    0.112 8           Simbad 150.89583 -35.46322
23:51:50.27 -27:57:47.0 1993ah  25.88 -76.77  8842  8892  8543 S0        8.1   -0.9  11.8 BVI    0.020 8           Simbad 357.95946 -27.96306
12:34:02.39 +07:42:05.7 1994D  290.15  70.14   592   469   928 S0        7.8   -9.0 -13.5 UBVRI  0.022 10,16,17,18 Simbad 188.50998 +07.70158
12:31:08.61 +00:36:19.6 1994M  291.68  63.03  6943  6788  7289 E       -28.2    3.4   3.1 BVRI   0.023 15          Simbad 187.78587 +00.60544
16:49:51.13 +40:25:55.8 1994Q   64.38  39.67  8672  8871  8670 S0       -3.7   -0.1  10.8 BVRI   0.017 15          Simbad 252.46304 +40.43217
12:31:21.85 +29:08:04.0 1994S  187.37  85.14  4525  4501  4806 Sab      -6.9  -14.0  -4.5 BVRI   0.021 15          Simbad 187.84104 +29.13444
13:21:30.73 -02:08:56.5 1994T  318.01  59.83 10396 10265 10709 Sa      -12.0    3.8   0.2 BVRI   0.029 15          Simbad 200.37804 -02.14903
10:47:01.94 +17:16:30.8 1994ae 225.34  59.66  1301  1175  1637 Sc        6.1  -29.7 -11.6 UBVRI  0.030 10,19       Simbad 161.75808 +17.27522
09:40:54.75 +05:08:26.2 1995D  230.02  39.65  1966  1774  2300 S0      -87.8   11.8  -6.5 BVRI   0.058 10,15       Simbad 145.22814 +05.14060
07:51:56.75 +73:00:34.6 1995E  141.99  30.26  3470  3638  3496 Sb      -20.8    7.6  -1.9 BVRI   0.027 15          Simbad 117.98646 +73.00961
22:45:34.14 -08:45:04.7 1995ac  58.69 -55.04 14990 15157 14635 Sa       -1.4   -0.9  -5.1 BVRI   0.042 10,15       Simbad 341.39225 -08.75131
02:45:48.83 +03:13:50.1 1995ak 169.65 -48.98  6811  6875  6589 Sbc       0.8   -7.1   3.6 BVRI   0.038 15          Simbad 041.45346 +03.23058
09:50:55.97 +33:33:09.4 1995al 192.17  50.83  1514  1465  1777 Sbc      -3.1  -14.7  -3.9 UBVRI  0.014 15          Simbad 147.73321 +33.55261
04:45:21.24 +11:04:02.5 1995bd 187.11 -21.66  4377  4364  4326 Sa       -1.0   22.9  -8.4 BVRI   0.498 15          Simbad 071.33850 +11.06736
13:50:48.60 +49:19:07.1 1996C   99.59  65.00  8094  8206  8244 Sa       13.2   -1.8   2.4 BVRI   0.013 15          Simbad 207.70250 +49.31864
13:18:01.13 -26:50:45.3 1996X  310.23  35.64  2032  1815  2333 E       -31.7  -51.4  -3.0 UBVRI  0.069 15,20       Simbad 199.50471 -26.84592
09:36:44.82 -21:08:51.7 1996Z  253.60  22.55  2254  1971  2584 Sb      -69.9    2.0   6.1 BVR    0.064 15          Simbad 144.18675 -21.14769
15:21:08.35 +27:55:36.8 1996ab  43.15  56.93 37109 37201 37239 Sa        0.6    2.0   1.0 BV     0.032 15          Simbad 230.28479 +27.92689
13:10:58.13 +37:03:35.4 1996ai 101.58  79.24   873   910  1101 Scd       2.9   23.3  -1.1 UBVRI  0.014 15          Simbad 197.74221 +37.05983
13:46:57.98 +60:58:12.9 1996bk 111.25  54.88  1985  2139  2085 S0       -9.7  -18.1   3.0 BVRI   0.018 15          Simbad 206.74158 +60.97025
00:36:17.97 +11:23:40.5 1996bl 116.99 -51.30 10793 10990 10447 Sc        5.6   -3.2  -2.4 BVRI   0.092 15          Simbad 009.07487 +11.39458
01:48:22.86 +11:31:15.1 1996bo 144.46 -48.95  5182  5328  4893 Sc       -2.1    6.7  -6.2 BVRI   0.077 10,15       Simbad 027.09525 +11.52086
06:16:13.00 +57:03:08.9 1996bv 157.33  17.97  4996  5119  5013 Sa        2.0   -2.0   5.1 BVRI   0.105 15          Simbad 094.05417 +57.05247
06:47:38.10 +74:29:51.0 1997E  140.20  25.81  4001  4184  3997 S0       57.0  -32.0  -2.6 UBVRI  0.124 21          Simbad 101.90875 +74.49750
12:45:31.40 +54:44:17.0 1997Y  124.77  62.37  4806  4911  4964 Sb        2.0   -8.0   2.2 UBVRI  0.017 21          Simbad 191.38083 +54.73806
12:46:53.75 -11:38:33.2 1997bp 301.15  51.21  2492  2301  2831 Sd/Irr  -20.0  -15.0  -2.1 UBVRI  0.044 10,21       Simbad 191.72396 -11.64256
10:17:05.33 +73:23:02.1 1997bq 136.29  39.48  2780  2943  2839 Sbc     -60.0   50.0 -10.3 UBVRI  0.024 21          Simbad 154.27221 +73.38392
13:20:42.40 -22:02:12.3 1997br 311.84  40.32  2085  1884  2391 Sd/Irr   52.0  -21.0  -8.7 UBVRI  0.113 10,21,22    Simbad 200.17667 -22.03675
14:09:57.76 +17:32:32.3 1997cn   9.14  69.51  4855  4846  5092 E       -12.0    7.0   5.4 UBVRI  0.027 21,23       Simbad 212.49067 +17.54231
00:25:17.27 +12:53:06.2 1997cw 113.09 -49.48  5133  5342  4782 Sab       4.0    8.0  12.0 UBVRI  0.073 21          Simbad 006.32196 +12.88506
23:40:14.21 +26:12:11.8 1997dg 103.61 -33.98  9238  9507  8890 None      0.0    2.0   0.8 UBVRI  0.078 21          Simbad 355.05921 +26.20328
07:26:42.50 +47:05:36.0 1997do 171.00  25.26  3034  3084  3140 Sbc      -4.0   -3.0  -6.1 UBVRI  0.063 21          Simbad 111.67708 +47.09333
23:00:02.93 +15:58:50.9 1997dt  87.56 -39.12  2194  2451  1828 Sbc       1.0   -9.0  -7.9 UBVRI  0.057 21          Simbad 345.01221 +15.98081
14:02:59.28 +34:44:54.3 1998D   63.78  72.91  3765  3825  3962 Sa       -7.0  -26.0  32.4 UBVRI  0.015 21          Simbad 210.74700 +34.74842
18:22:37.40 +15:42:08.4 1998V   43.94  13.34  5268  5464  5148 Sb       21.0  -21.0   2.7 UBVRI  0.196 21          Simbad 275.65583 +15.70233
12:48:47.24 +41:55:28.3 1998ab 124.86  75.19  8134  8181  8354 Sc       12.0    2.0  -7.4 UBVRI  0.017 21          Simbad 192.19683 +41.92453
11:56:25.87 +55:07:43.2 1998aq 138.83  60.26  1184  1274  1354 Sb        7.0  -18.0 -10.1 UBVRI  0.014 19          Simbad 179.10779 +55.12867
17:54:50.74 +18:19:50.5 1998bp  43.64  20.48  3127  3312  3048 E        13.0   -1.0  -1.5 UBVRI  0.076 21          Simbad 268.71142 +18.33069
10:46:46.01 +11:50:07.5 1998bu 234.41  57.01   855   702  1204 Sab      55.0    4.0  -7.7 UBVRI  0.025 24,25       Simbad 161.69171 +11.83542
21:47:36.24 -13:10:52.3 1998co  41.52 -44.94  5418  5573  5094 S0        5.0    2.0   3.0 UBVRI  0.043 21          Simbad 326.90100 -13.18119
00:48:06.88 +27:37:28.5 1998de 122.03 -35.24  4990  5228  4671 S0        3.0   72.0  -8.6 UBVRI  0.057 21,26       Simbad 012.02867 +27.62458
23:14:40.31 +04:32:14.1 1998dh  82.82 -50.64  2678  2892  2307 Sbc      10.0  -54.0  -7.8 UBVRI  0.068 21          Simbad 348.66796 +04.53725
00:14:32.16 -00:44:10.9 1998dk 102.85 -62.16  3963  4128  3609 Sc        3.0    5.0  18.9 UBVRI  0.044 21          Simbad 003.63400 -00.73636
01:26:13.97 -06:06:14.0 1998dm 145.97 -67.40  1968  2061  1668 Sc      -37.0  -14.0   9.9 UBVRI  0.044 21          Simbad 021.55821 -06.10389
18:11:11.89 +49:51:40.7 1998dx  77.67  26.67 16197 16459 16102 Sb      -12.0   21.0   1.2 UBVRI  0.041 21          Simbad 272.79954 +49.86131
06:53:06.11 +50:02:22.1 1998ec 166.29  20.71  5966  6043  6032 Sb      -20.0   -9.0  13.3 UBVRI  0.085 21          Simbad 103.27546 +50.03947
01:03:26.87 +32:14:12.4 1998ef 125.88 -30.56  5319  5558  5020 Sa       -2.0    6.0  -7.3 UBVRI  0.073 21          Simbad 015.86196 +32.23678
22:39:30.29 +08:36:20.6 1998eg  76.46 -42.06  7423  7662  7056 Sc      -25.0  -26.0  -0.1 UBVRI  0.123 21          Simbad 339.87621 +08.60572
01:37:17.60 +05:52:50.6 1998es 143.18 -55.18  3168  3301  2868 S0/Sa    11.0    0.0 -11.0 UBVRI  0.032 21,27       Simbad 024.32333 +05.88072
08:54:32.23 +36:30:41.1 1999X  186.58  39.59  7503  7474  7720 None      6.0    4.0  14.0 UBVRI  0.032 21          Simbad 133.63429 +36.51142
08:27:42.03 +21:29:14.8 1999aa 202.72  30.31  4330  4227  4572 Sc       28.0    1.0 -10.1 UBVRI  0.040 10,21,27,28 Simbad 126.92512 +21.48744
16:07:15.01 +07:58:20.4 1999ac  19.88  39.94  2848  2904  2943 Scd     -30.0   24.0 -14.4 UBVRI  0.046 21,27       Simbad 241.81254 +07.97233
11:01:36.37 -06:06:31.6 1999aw 260.24  47.45 11392 11168 11763 None      0.0    0.0  -8.2 BVRI   0.032 29          Simbad 165.40154 -06.10878
09:21:52.07 +51:00:06.6 1999by 166.91  44.11   657   704   827 Sb       91.0  -96.0 -10.9 UBVRI  0.016 27,30       Simbad 140.46696 +51.00183
16:02:42.03 +37:21:34.4 1999cc  59.66  48.74  9392  9549  9452 Sc        2.0   17.0  -2.7 UBVRI  0.023 21,31       Simbad 240.67512 +37.35956
12:31:56.01 +14:25:35.3 1999cl 282.26  76.50  2281  2187  2605 Sb       23.0  -46.0  -6.5 UBVRI  0.038 21,31       Simbad 187.98337 +14.42647
14:06:31.30 -05:26:49.0 1999cp 334.85  52.71  2845  2737  3115 Scd      23.0  -52.0  -7.4 BVRI   0.024 28          Simbad 211.63042 -05.44694
00:20:01.46 -06:20:03.6 1999cw 101.77 -67.91  3725  3863  3380 Sab      -2.0   21.0  24.0 UBVRI  0.036 21          Simbad 005.00608 -06.33433
17:35:22.96 +60:48:49.3 1999da  89.73  32.64  3806  4059  3748 E         1.0  -71.0  -8.7 BVRI   0.056 27,32       Simbad 263.84567 +60.81369
01:31:26.92 +14:17:05.7 1999dk 137.35 -47.46  4485  4654  4181 Sc       26.0    4.0  -0.9 UBVRI  0.054 10,32       Simbad 022.86217 +14.28492
02:33:59.68 +20:58:30.4 1999dq 152.83 -35.87  4295  4436  4060 Sc       -6.0   -4.0 -10.6 UBVRI  0.110 21,27       Simbad 038.49867 +20.97511
22:16:09.40 -36:50:31.5 1999ee   6.50 -55.93  3422  3451  3163 Sbc     -10.0   10.0  -9.5 UBVRI  0.020 33          Simbad 334.03917 -36.84208
00:58:46.20 +12:44:45.0 1999ef 125.72 -50.09 11733 11920 11402 Scd     -10.0   20.0   6.8 UBVRI  0.087 21          Simbad 014.69250 +12.74583
