# SNID hostmass hostsfr hostssfr u-g
6558 9.589 -1.782 -11.328 1.258
2006cq 11.046 -0.270 -11.334 1.622
ASASSN-16ct 8.939 -5.029 -14.000 1.542
2006cj 10.445 -0.880 -11.334 1.403
2006cf 10.537 1.637 -8.793 1.144
SN2016aqb 9.720 -0.187 -10.247 1.148
SN2016hhv 11.086 0.096 -10.961 1.381
2006je 11.148 -1.944 -13.056 1.650
2005bg 9.869 0.705 -8.990 1.012
2005be 10.616 -2.292 -13.056 1.709
SN2016gmb 8.874 -1.011 -10.247 1.165
20470 9.713 -2.061 -11.757 0.373
ASASSN-17at 10.237 -0.284 -10.776 1.318
2009D 10.197 1.121 -8.881 1.147
070242 9.112 -1.298 -10.410 1.671
2001ic 11.547 -1.869 -13.488 1.887
2001ie 11.037 -1.527 -12.625 1.871
19543 8.270 -3.938 -12.198 0.584
16333 10.245 -2.423 -12.568 1.774
AT2017lm 9.259 0.906 -8.327 0.860
22075 10.926 -8.772 -19.776 1.885
12779 10.309 -0.634 -11.113 1.406
PS15cwx 10.590 -99.000 -109.454 1.704
160099 9.682 0.812 -8.793 1.357
ASASSN-16db 10.851 0.932 -9.850 1.431
000014 9.755 -0.411 -10.330 1.426
1994M 11.039 -1.303 -12.194 1.794
13005 9.364 -1.392 -10.961 1.366
1994T 10.370 -10.283 -20.774 1.687
ASASSN-16dw 10.326 -0.424 -10.921 1.483
1994Q 9.568 0.462 -9.071 1.184
PS17yt 10.252 -0.680 -10.961 1.132
2007R 11.000 0.418 -10.637 1.534
PS16fbb 8.824 0.094 -8.759 0.959
2007F 9.656 0.936 -8.530 0.842
15508 9.094 -1.245 -10.326 1.133
19940 10.042 -99.000 -109.040 0.980
2007O 10.510 1.197 -9.263 1.159
1992J 11.244 -1.837 -13.056 1.871
SN2017mf 10.639 1.533 -8.977 1.191
2008ar 9.692 0.706 -9.248 1.316
2992 9.519 0.628 -8.930 1.139
2008af 11.520 -14.135 -25.549 1.766
17366 10.813 0.249 -10.624 1.463
2008ac 8.962 0.313 -8.704 0.785
SN2017ms 9.147 -1.328 -10.475 2.807
12781 10.694 -16.641 -27.276 1.973
19899 7.614 -5.173 -12.723 1.215
17240 10.949 -99.000 -109.946 2.131
370356 10.697 -0.542 -11.136 1.438
13894 8.679 -3.292 -11.982 0.789
2005ag 11.016 -5.243 -16.160 1.206
PS16bnz 11.470 -1.578 -13.056 1.998
2006gr 10.884 0.066 -10.921 1.456
7876 9.825 0.428 -9.492 1.057
2006gt 10.069 -12.915 -22.941 1.541
340229 9.602 -0.613 -10.321 0.882
2004gu 10.129 -0.465 -10.745 1.740
2004gs 10.500 -1.402 -12.194 1.863
1997dg 8.971 0.048 -8.815 1.022
AT2017zd 9.848 -0.247 -10.308 1.401
370066 9.163 0.366 -8.704 1.077
2004gc 10.383 -0.887 -11.402 1.699
370566 9.539 -0.903 -10.463 0.990
2003fa 7.041 -1.695 -6.997 0.549
2016afk 9.248 -0.124 -9.771 0.968
2003cq 10.844 2.018 -8.692 1.045
1992bg 9.710 1.294 -8.319 -1.112
15234 9.797 0.903 -8.930 0.987
1992bh 10.239 1.141 -9.210 1.267
1992bl 11.144 0.693 -10.308 1.297
1992bs 10.071 1.654 -8.327 0.927
PS17bii 10.279 0.989 -9.248 1.695
1992bp 9.585 -1.304 -10.911 1.856
AT2017cfc 10.942 -99.000 -109.765 2.686
18602 8.490 -2.710 -11.129 0.283
16641 10.217 -99.000 -109.214 1.479
SN2017ciy 10.006 -2.458 -12.625 1.842
PS16n 10.309 -0.847 -11.120 1.565
MASTERJ0134 9.173 0.393 -8.692 0.945
130308 10.573 -0.814 -11.392 1.110
1999X 10.342 -1.321 -11.543 1.536
SN2016hpx 9.369 0.320 -8.872 1.019
SN2017cii 9.184 0.250 -8.759 1.037
ASASSN-16hc 11.162 -1.202 -12.194 2.106
AT2016cor 9.569 0.795 -8.785 1.196
440008 9.106 0.380 -8.930 0.894
2007cq 9.255 0.387 -8.990 1.038
2008bf 11.250 -1.116 -12.194 1.723
2009bv 10.091 0.941 -9.130 1.069
1990Y 9.095 -1.317 -10.581 0.752
2008bz 10.570 -0.548 -11.120 1.553
2007cc 10.414 1.282 -9.177 1.270
2008by 8.018 -0.685 -8.815 0.860
2007co 10.289 -0.829 -11.129 1.381
13044 8.925 -1.411 -10.326 0.880
1990T 10.631 0.485 -10.171 1.339
2008bq 10.501 0.573 -10.171 1.076
21034 9.790 0.722 -9.115 1.048
