SN,tmaxS,e_tmaxS,dm15,e_dm15,EBV,e_EBV,muS,e_muS,tmaxM,e_tmaxM,delta,e_delta,AV,e_AV,muM,e_muM
2013gy,56649.21,0.12,1.125,0.011,0.073,0.012,34.024,0.012,56648.36,0.07,0.026,0.032,0.280,0.034,33.947,0.044
2014J,56690.04,0.13,0.952,0.020,1.179,0.014,28.415,0.025,56689.20,0.09,-0.219,0.025,2.194,0.048,27.865,0.047
2014ai,56745.96,0.23,1.490,0.058,0.128,0.025,35.097,0.054,56744.75,0.51,0.191,0.124,0.277,0.069,35.308,0.115
2014ao,56766.17,0.34,0.977,0.032,0.820,0.014,34.759,0.033,56765.77,0.61,-0.204,0.088,1.441,0.053,34.515,0.076
2014bj,56796.73,0.55,1.108,0.038,0.044,0.021,36.632,0.024,56795.74,0.65,-0.168,0.071,0.169,0.062,36.824,0.078
2015N,57223.19,0.15,1.087,0.015,0.181,0.012,33.877,0.017,57222.89,0.21,-0.134,0.045,0.430,0.142,33.865,0.098
2016coj,57547.89,0.23,1.131,0.034,0.121,0.018,32.306,0.026,57547.83,0.06,0.613,0.033,0.024,0.017,31.969,0.042
2016fbk,57624.94,0.41,0.993,0.034,0.241,0.016,36.180,0.036,57625.09,0.51,-0.046,0.049,0.468,0.046,36.156,0.062
2016gcl,57649.84,0.53,0.849,0.024,0.025,0.032,35.608,0.056,57649.62,0.38,-0.366,0.029,0.126,0.041,35.852,0.050
2016gdt,57641.53,1.08,1.822,0.001,0.677,0.064,35.832,0.051,57640.11,0.91,1.499,0.077,0.147,0.103,35.492,0.076
2016hvl,57711.00,0.12,1.123,0.014,0.116,0.012,33.420,0.014,57709.48,0.11,-0.281,0.026,0.343,0.115,33.634,0.075
2017cfd,,,,,,,,,57844.39,0.13,0.093,0.048,0.504,0.041,33.693,0.058
2017drh,57890.60,0.09,1.340,0.011,1.601,0.014,32.687,0.013,57889.72,0.10,0.112,0.036,2.558,0.045,32.169,0.053
2017dws,57867.60,1.20,0.882,0.030,-0.051,0.051,37.935,0.038,57869.18,1.29,-0.339,0.091,0.075,0.049,38.258,0.135
2017erp,57935.15,0.06,1.118,0.006,0.099,0.006,32.405,0.006,57933.88,0.06,-0.234,0.021,0.444,0.039,32.503,0.039
2017fgc,57955.52,0.38,0.840,0.008,0.081,0.016,32.775,0.035,57955.78,0.41,-0.324,0.026,0.305,0.033,32.866,0.049
2017glx,,,,,,,,,58009.16,0.16,-0.196,0.025,0.174,0.044,33.684,0.044
2017hbi,,,,,,,,,58044.44,0.14,-0.692,0.017,0.186,0.035,36.347,0.041
2018aoz,58221.43,0.14,1.283,0.008,-0.079,0.011,32.001,0.014,58221.27,0.19,0.187,0.040,0.018,0.012,32.107,0.053
2018gv,58150.11,0.08,1.006,0.011,-0.046,0.006,32.164,0.013,58149.59,0.11,-0.169,0.024,0.035,0.020,32.363,0.038
