#Table J_ApJ_700_1097_table1:
#Name: J/ApJ/700/1097/table1
#Title: SALT light curve fit parameters and distances. Constitution set
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag (1) [ucd=stat.error;phot.mag;em.opt.B]
#    s                  (F6.3)  SALT light curve stretch parameter [ucd=stat.fit.param]
#    e_s                (F6.3)  Uncertainty in s [ucd=stat.error]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (2) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- ---------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag                             mu     e_mu                                         
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag s      e_s    c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg
11:50:33.51 +10:26:45.4 1996u     1  0.430  0.005 22.610  0.211  0.920  0.070 -0.210  0.090 42.519  0.326 SN1996u            177.63962 +10.44594
02:57:30.70 -01:41:19.8 1995ao    1  0.240  0.005 21.600  0.183  1.350  0.390  0.180  0.090 41.032  0.567 SN1995ao           044.37792 -01.68883
03:12:28.13 +00:41:43.4 1995ap    1  0.300  0.005 21.530  0.001  0.540  0.200  0.050  0.320 40.295  0.865 SN1995ap           048.11721 +00.69539
10:05:27.66 -07:27:23.9 1996t     1  0.240  0.005 20.990  0.263  1.300  0.030 -0.100  0.010 41.086  0.267 SN1996t            151.36525 -07.45664
17:07:48.26 +44:01:26.2 1997ce    1  0.440  0.005 22.800  0.251  0.860  0.030 -0.040  0.040 42.195  0.275 SN1997ce           256.95108 +44.02394
12:37:04.27 +62:26:24.9 1997cj    1  0.500  0.005 23.140  0.271  0.910  0.020 -0.040  0.020 42.597  0.277 SN1997cj           189.26779 +62.44025
16:53:00.27 +35:03:46.4 1997ck    1  0.970  0.010 24.720  0.001  1.030  0.120  0.420  0.280 43.134  0.740 SN1997ck           253.25112 +35.06289
10:50:46.95 -09:15:06.6 1995k     1  0.479  0.005 22.720  0.259  0.980  0.040 -0.120  0.050 42.471  0.294 SN1995k            162.69562 -09.25183
13:47:09.90 +02:23:57.5 1997ap    1  0.830  0.010 24.340  0.342  1.000  0.020  0.060  0.040 43.649  0.358 SN1997ap           206.79125 +02.39931
10:57:31.52 -03:13:48.3 1997am    1  0.416  0.005 22.460  0.176  1.080  0.050 -0.080  0.140 42.231  0.408 SN1997am           164.38133 -03.23008
10:55:52.98 -03:59:02.3 1997aj    1  0.581  0.005 23.160  0.293  1.010  0.060  0.220  0.100 42.067  0.398 SN1997aj           163.97075 -03.98397
10:48:57.61 +00:31:50.0 1997ai    1  0.450  0.005 22.920  0.320  0.740  0.070  0.050  0.050 41.933  0.356 SN1997ai           162.24004 +00.53056
08:23:52.67 +04:08:44.0 1997af    1  0.579  0.005 23.570  0.281  0.900  0.050 -0.160  0.170 43.325  0.526 SN1997af           125.96946 +04.14556
