Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 1991bg Ia-pec  Ia,Ia-91bg,Ia-norm  sn1991bg-19920109-noz.flm 19920109.0  27.9 | 37 UV Schmidt  3090.0 - 9905.0 41.8317 Alex Filippenko, Thomas Matheson, Luis Ho | Thomas Matheson 1992AJ....104.1543F
SN 1991bg Ia-pec  Ia,Ic,Ic-norm,Ia-91bg sn1991bg-19920130-noz.flm 19920130.0  48.8 | 58 None  3090.0 - 7005.0 35.0182 None | None 1992AJ....104.1543F
SN 1991bh Ia  Ia,Ia-norm  sn1991bh-19911214-final.flm 19911214.0  None | 7  UV Schmidt  3920.0 - 6880.0 5.91437 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bj Ia  Ia,Ia-norm,Ia-02cx  sn1991bj-19920101.flm 19920101.0  None | 2  UV Schmidt  4200.0 - 7400.0 16.3422 Alex Filippenko | Thomas Matheson 2012MNRAS.425.1789S
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920114.083-iue.flm  19920114.083  -5.0 | 3  None  1867.16 - 3345.02 7.25596 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920116.220-iue.flm  19920116.22 -3.0 | 5  None  1867.16 - 3345.02 7.42534 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920118.952-iue.flm  19920118.952  -1.0 | 7  None  1923.08 - 3331.7  8.11963 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920121.574-iue.flm  19920121.574  2.0 | 10  None  1880.48 - 3345.02 6.50082 None | None 1993ApJ...415..589K
SN 1992A  Ia  Ia,Ia-norm  sn1992a-19920124.214-hst.flm  19920124.214  5.0 | 13  None  1614.0 - 4780.0 16.6045 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920127.666-iue.flm  19920127.666  8.0 | 16  None  1869.83 - 3323.71 6.70022 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920130.906-iue.flm  19920130.906  10.9 | 19 None  1885.8 - 3347.68  5.28345 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920204.218-iue.flm  19920204.218  15.9 | 24 None  1917.76 - 3347.68 3.62967 None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19920210.659-iue.flm  19920210.659  21.9 | 30 None  1909.77 - 3350.34 1.66183 None | None 1993ApJ...415..589K
SN 1992A  Ia  Ia,Ia-norm  sn1992a-19920304.310-hst.flm  19920304.31 44.7 | 53 None  1640.0 - 4780.0 6.9234  None | None 1993ApJ...415..589K
SN 1992A  Ia  NoMatch,NoMatch sn1992a-19921105.592-hst.flm  19921105.592  289.2 | 299 None  1634.0 - 4780.0 3.282 None | None 1993ApJ...415..589K
SN 1992G  Ia  Ia,Ia-99aa,Ia-norm  sn1992g-19920411-final.flm  19920411.0  None | 62 Kast  3130.0 - 10400.0  43.082  Alex Filippenko, Thomas Matheson, Schuyler VanDyk | Thomas Matheson 2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ia-norm  sn1992g-19920609-uoi.flm  19920609.0  None | 121  Kast  3224.0 - 10214.0  20.7725 Alex Filippenko, Thomas Matheson, Luis Ho | Luis Ho 2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ia-norm  sn1992g-19920523-final.flm  19920523.0  None | 104  Kast  3600.0 - 10200.0  30.9904 Schuyler VanDyk, Luis Ho, Alex Filippenko | Luis Ho 2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ic,Ic-norm,Ia-norm sn1992g-19920625-final.flm  19920625.0  None | 137  Kast  4000.0 - 7400.0 11.87 Alex Filippenko, Baker, Green | Luis Ho 2012MNRAS.425.1789S
