#Table J_ApJ_700_1097_table2:
#Name: J/ApJ/700/1097/table2
#Title: SALT2 light curve fit parameters and distances
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag [ucd=stat.error;phot.mag;em.opt.B]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    x1                 (F6.3)  SALT2 light curve stretch parameter [ucd=stat.fit.param]
#    e_x1               (F6.3)  Uncertainty in x1 [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- --------- ------ ------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag               mu     e_mu                                                       
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg   x1     e_x1  
14:20:23.92 +52:49:15.4 04D3cp    4  0.830  0.001 24.198  0.043 -0.431  0.190 44.844  0.500 SNLS04D3cp         215.09966 +52.82093  1.317  0.403
14:18:12.43 +52:39:30.0 04D3cy    4  0.643  0.001 23.795  0.027  0.017  0.036 43.217  0.186 SNLS04D3cy         214.55181 +52.65833  0.216  0.283
14:17:48.40 +52:28:14.4 04D3dd    4  1.010  0.001 25.063  0.159 -0.121  0.214 44.924  0.580 SNLS04D3dd         214.45169 +52.47068  1.138  0.655
14:18:10.00 +52:16:39.7 04D3df    4  0.470  0.001 23.513  0.029  0.142  0.038 42.367  0.189 SNLS04D3df         214.54167 +52.27769 -2.280  0.298
14:17:46.08 +52:16:03.2 04D3do    4  0.610  0.001 23.564  0.018 -0.064  0.030 43.032  0.177 SNLS04D3do         214.44201 +52.26755 -1.280  0.220
14:19:07.83 +53:04:19.0 04D3ez    4  0.263  0.001 21.662  0.017  0.084  0.016 40.794  0.165 SNLS04D3ez         214.78264 +53.07195 -0.976  0.144
14:18:26.18 +52:31:42.5 04D3fk    4  0.358  0.001 22.525  0.017  0.137  0.016 41.587  0.165 SNLS04D3fk         214.60910 +52.52847 -0.412  0.128
14:16:57.88 +52:22:46.1 04D3fq    4  0.730  0.001 24.092  0.026  0.004  0.048 43.444  0.204 SNLS04D3fq         214.24119 +52.37947 -0.770  0.398
14:22:32.59 +52:38:48.9 04D3gt    4  0.451  0.001 23.235  0.016  0.297  0.023 41.919  0.169 SNLS04D3gt         215.63580 +52.64692 -0.226  0.164
14:20:13.67 +52:16:58.0 04D3gx    4  0.910  0.001 24.716  0.074 -0.227  0.176 44.702  0.472 SNLS04D3gx         215.05695 +52.28278 -0.181  0.511
14:22:06.89 +52:13:42.9 04D3hn    4  0.552  0.001 23.472  0.015  0.156  0.024 42.430  0.171 SNLS04D3hn         215.52873 +52.22859 -0.946  0.167
14:16:51.97 +52:48:45.7 04D3is    4  0.710  0.001 24.229  0.031  0.203  0.046 43.188  0.202 SNLS04D3is         214.21653 +52.81269  0.205  0.405
14:19:34.60 +52:17:32.6 04D3ki    4  0.930  0.001 24.860  0.100 -0.226  0.207 44.763  0.549 SNLS04D3ki         214.89416 +52.29239 -0.938  0.457
14:16:35.93 +52:28:44.0 04D3kr    4  0.337  0.001 21.932  0.021  0.013  0.017 41.456  0.166 SNLS04D3kr         214.14972 +52.47887  1.097  0.185
14:22:33.55 +52:11:06.7 04D3ks    4  0.752  0.001 23.851  0.037 -0.059  0.053 43.475  0.214 SNLS04D3ks         215.63978 +52.18518  0.332  0.433
14:21:07.97 +52:58:29.3 04D3lu    4  0.822  0.001 24.339  0.031  0.096  0.125 43.534  0.350 SNLS04D3lu         215.28321 +52.97479 -0.082  0.354
14:16:39.07 +53:05:35.7 04D3ml    4  0.950  0.001 24.494  0.070  0.096  0.141 43.841  0.395 SNLS04D3ml         214.16278 +53.09325  1.356  0.641
14:16:18.22 +52:16:25.7 04D3nc    4  0.817  0.001 24.272  0.056  0.007  0.154 43.885  0.437 SNLS04D3nc         214.07591 +52.27380  1.812  1.234
14:22:26.71 +52:20:00.4 04D3nh    4  0.340  0.001 22.089  0.016  0.033  0.015 41.494  0.164 SNLS04D3nh         215.61128 +52.33345  0.418  0.171
14:22:38.51 +52:38:55.3 04D3nr    4  0.960  0.001 24.528  0.061  0.083  0.116 43.705  0.337 SNLS04D3nr         215.66045 +52.64869 -0.585  0.536
14:18:56.32 +52:11:14.9 04D3ny    4  0.810  0.001 24.277  0.038 -0.076  0.170 43.996  0.461 SNLS04D3ny         214.73467 +52.18746  0.852  0.889
14:19:39.38 +52:33:13.8 04D3oe    4  0.756  0.001 24.070  0.031 -0.282  0.051 44.019  0.211 SNLS04D3oe         214.91410 +52.55385 -1.849  0.459
22:15:57.10 -17:41:43.8 04D4an    4  0.613  0.001 24.027  0.027  0.078  0.035 43.111  0.187 SNLS04D4an         333.98792 -17.69550 -1.601  0.387
22:15:07.70 -18:03:37.0 04D4bk    4  0.840  0.001 24.291  0.033  0.209  0.103 43.339  0.309 SNLS04D4bk         333.78210 -18.06027  1.192  0.650
22:14:49.42 -17:49:39.3 04D4bq    4  0.550  0.001 23.333  0.024  0.126  0.030 42.475  0.182 SNLS04D4bq         333.70593 -17.82759  0.109  0.404
22:15:25.45 -17:14:42.6 04D4dm    4  0.811  0.001 24.398  0.040 -0.130  0.165 44.250  0.455 SNLS04D4dm         333.85606 -17.24516  0.859  1.095
12:36:49.76 +62:13:13.1 2002dc    4  0.475  0.010 23.175  0.129  0.077  0.126 42.299  0.375 SN2002dc           189.20732 +62.22030 -1.233  0.346
12:36:55.35 +62:12:46.1 2002dd    4  0.950  0.010 24.596  0.033  0.104  0.046 43.921  0.201 SN2002dd           189.23062 +62.21281  1.352  0.373
12:37:20.75 +62:13:41.5 Eagle     4  1.020  0.010 24.931  0.027  0.004  0.050 44.345  0.206 [RSC2007]HST04Eag  189.33646 +62.22819 -0.178  0.406
12:36:25.10 +62:15:23.8 Ferguson  4  1.020  0.010 24.816  0.060  0.099  0.059 44.112  0.230 [RSC2007]HST05Fer  189.10458 +62.25662  0.956  0.568
12:36:13.83 +62:12:07.6 Gabi      4  1.120  0.010 25.080  0.024  0.009  0.042 44.509  0.195 [RSC2007]HST05Gab  189.05762 +62.20210  0.091  0.372
12:36:22.92 +62:18:23.2 Koekemoer 3  1.230  0.010 25.284  0.092 -0.034  0.074 44.809  0.268 [RSC2007]HST05Koe  189.09550 +62.30644 -0.022  0.651
12:36:56.72 +62:12:53.3 Lancaster 4  1.230  0.010 26.057  0.050  0.130  0.045 45.113  0.211 [RSC2007]HST05Lan  189.23633 +62.21481 -0.626  0.678
12:36:34.85 +62:15:48.9 Manipogo  4  0.854  0.010 24.535  0.028  0.016  0.048 43.813  0.205 [RSC2007]HST04Man  189.14522 +62.26357 -1.197  0.425
03:32:10.02 -27:49:50.0 Mcguire   4  1.370  0.010 25.616  0.046  0.023  0.036 45.079  0.199 [RSC2007]HST04Mcg  053.04175 -27.83055  0.750  0.626
03:32:25.34 -27:45:03.0 Ombo      4  0.975  0.010 24.858  0.031  0.069  0.034 44.323  0.187 [RSC2007]HST04Omb  053.10558 -27.75084  1.850  0.426
12:38:09.00 +62:18:47.2 Patuxent  4  0.970  0.010 24.983  0.025 -0.122  0.061 44.639  0.255 [RSC2007]HST04Pat  189.53750 +62.31312 -0.866  1.230
03:32:18.15 -27:44:10.5 Rakke     4  0.740  0.010 23.902  0.043 -0.085  0.040 43.526  0.194 [RSC2007]HST04Rak  053.07562 -27.73626 -0.280  0.330
12:37:06.53 +62:15:11.7 Spock     4  0.839  0.010 24.133  0.132 -0.018  0.088 43.608  0.305 [RSC2007]HST05Spo  189.27721 +62.25325 -0.124  0.508
12:36:20.63 +62:10:50.6 Strolger  4  1.010  0.010 24.945  0.102 -0.071  0.061 44.797  0.317 [RSC2007]HST05Str  189.08596 +62.18072  2.255  1.978
12:36:55.21 +62:13:03.7 Thames    3  0.954  0.010 24.638  0.258 -0.056  0.118 44.149  0.426 [RSC2007]HST04Tha  189.23006 +62.21771 -0.688  0.631
03:32:45.65 -27:44:24.3 Zwicky    4  0.521  0.010 23.055  0.055  0.045  0.042 42.504  0.208 [RSC2007]HST05Zwi  053.19021 -27.74008  1.129  0.651
12:37:25.13 +62:13:17.0 anguta    3  0.670  0.010 24.228  0.035  0.087  0.032 43.331  0.184 SN2003bd           189.35469 +62.22138 -1.181  0.328
03:32:37.51 -27:46:46.4 aphrodite 3  1.300  0.010 25.623  0.024  0.033  0.038 45.038  0.189 SN2002fw           053.15630 -27.77956  0.518  0.371
03:32:06.80 -27:44:34.4 athena    1  1.400  0.010 26.549  0.184  0.000  0.000 45.940  0.336 SN2002fx           053.02833 -27.74289 -0.496  2.243
