#SN name, redshift, host name, separation, SN ra, SN dec, host ra, host dec
2003ar,0.025214,NGC6071,4.22889754851,240.53379,70.41542,240.52928,70.41702
2003an,0.037039,MCG+05-32-022,3.01309897678,201.97313,28.50811,201.97193,28.5082
2003ah,0.03,LOTOSSJ044309.01+004553.4,6.34222559829,70.78558,0.76678,70.78754,0.76483
2003ai,0.036177,IC4062,5.92911611554,195.2445,39.85681,195.24434,39.85894
2003ae,0.032857,2MASXJ09282257+2726402,0.102587242854,142.09408,27.44464,142.09412,27.44466
2003af,0.020539,2MASXJ11102130+2324533,2.36022100746,167.59037,23.41414,167.58897,23.41494
2003ag,0.022834,UGC06440,5.84959260068,171.50758,1.98411,171.50421,1.98414
1999fz,0.022139,UGC08164,2.8958829433,195.56808,78.5415,195.57627,78.54206
2002dk,0.018533,NGC6616,19.013019119,274.43133,22.24817,274.42117,22.23844
2002di,0.036392,MCG+05-40-002,6.27707353409,253.09708,30.71111,253.09447,30.71104
2009dc,0.021391,UGC10064,11.8631198226,237.8005,25.70778,237.80533,25.70192
2005de,0.015184,UGC11097,14.9758618557,270.59733,26.05214,270.60363,26.04039
1995l,0.024424,NGC5157,9.87069795302,201.82642,32.03131,201.8202,32.03071
2008hr,0.075804,2MASXJ09185174+1857294,22.0619157098,139.71842,18.95578,139.71559,18.95831
2008hs,0.017369,NGC0910,27.3223351613,36.37342,41.84308,36.36158,41.82428
2008hu,0.049698,ESO561-G018,43.2656283267,122.3115,-18.65364,122.31317,-18.66475
2008hv,0.012549,NGC2765,10.1914963168,136.89192,3.39225,136.90268,3.3929
2002bt,0.0599,UGC08584NED02,17.42237215,204.055,-1.03883,204.05866,-1.03815
2008hy,0.008459,IC0334,18.0444034052,56.28521,76.66542,56.32117,76.63831
2002bw,0.017335,PGC059990,2.95699735108,259.14833,-10.34217,259.14913,-10.34428
1993z,0.004503,NGC2775,3.49541051437,137.58165,7.02782,137.58383,7.03794
2002br,0.034056,MCG+03-27-061,4.39135535852,158.53717,19.70569,158.53615,19.70431
2002bs,0.009637,IC4221,0.15376566727,199.62625,-14.60883,199.62646,-14.60889
2008ha,0.004647,UGC12682,1.1469592063,353.71954,18.2265,353.72292,18.22722
1993c,0.012745,NGC2954,13.3523062444,145.09921,14.93648,145.10029,14.92264
2002bi,0.023273,UGC08527,2.78253180918,203.22688,9.52167,203.226,9.52036
2002bk,0.055232,2MASXiJ0902269-091745,8.7552195733,135.61112,-9.29408,135.61212,-9.29586
2008hj,0.037893,MCG-02-01-014,16.7258107469,1.00796,-11.16875,1.00636,-11.17427
2002bg,0.042743,MCG+02-38-031,15.3845193384,224.91346,13.21236,224.90947,13.21494
2007fc,0.033743,ESO538-G008,13.7388464636,359.39121,-21.99806,359.38585,-21.99993
2006cz,0.0418,MCG-01-38-002,18.29879116,222.15275,-4.74186,222.1525,-4.73619
2008cl,0.063434,UGC10261,10.0172213313,242.76812,52.45222,242.76697,52.45033
2007fb,0.018029,UGC12859,4.68492256462,359.21821,5.50883,359.21479,5.50842
1998d,0.012305,NGC5440,10.4088727284,210.747,34.74842,210.75434,34.75787
2008cd,0.007412,NGC5038,0.847658557361,198.75729,-15.95189,198.75887,-15.95181
2008ca,0.1315,SDSSJ122901.28+122218.0,2.18000163047,187.25533,12.37189,187.25536,12.37169
2008cb,0.165352,SDSSJ123118.84+082315.4,10.8565754766,187.82875,8.38836,187.82852,8.38761
2007bd,0.030908,UGC04455,5.66925096696,127.88867,-1.19944,127.887,-1.19772
2007ba,0.038513,UGC09798,10.0316111114,229.17763,7.39661,229.17423,7.39691
1996ai,0.003156,NGC5005,1.49991405687,197.74221,37.05983,197.7343,37.05921
2007bm,0.006211,NGC3672,1.38710042661,171.25958,-9.79828,171.26029,-9.79539
2008ct,0.025321,UGC11878,13.3882844392,330.602,18.32261,330.59583,18.31889
1996ab,0.13,[M96b]J152109.75+275508,52.9828107401,230.28479,27.92689,230.28762,27.92259
1996ac,0.025634,CGCG014-025,2.27908587834,186.04683,1.40408,186.04756,1.40317
2007bk,0.032189,SDSSJ152845.00+585200.1,9.23334950903,232.18992,58.87022,232.1875,58.86669
2007bj,0.016708,NGC6172,1.70239115438,245.54413,-1.51428,245.54292,-1.51487
2002cf,0.015501,NGC4786,6.18291642251,193.63042,-6.85689,193.63508,-6.85942
2007ob,0.033927,2MASXJ23122598+1354503,0.650463911199,348.10829,13.91369,348.10829,13.91394
1997fb,0.053764,MSACSSJ050114.71-383813.1,2.13617532304,75.31083,-38.63686,75.31142,-38.63708
1991bj,0.018146,IC0344,6.10604032506,55.37697,-4.66376,55.37304,-4.66585
2006eq,0.049509,2MASXJ21283758+0113490,10.9447428242,322.15471,1.22811,322.15668,1.23017
2002dr,0.022049,UGC12214,3.05258140059,342.75417,31.37306,342.75409,31.37488
1990m,0.008889,NGC5493,0.375648842555,212.87195,-5.0433,212.87242,-5.04361
2006eu,0.023586,MCG+08-36-016,7.62065401593,300.71312,49.31731,300.70779,49.31975
2006et,0.022639,NGC0232,5.02728578936,10.69092,-23.55844,10.69092,-23.56136
2007hj,0.014113,NGC7461,4.69071468505,345.44954,15.5865,345.45137,15.58247
2006ej,0.020452,NGC0191A,3.50163340854,9.74904,-9.01572,9.75101,-9.01458
2006em,0.019233,NGC0911,22.3028134585,36.43458,41.94217,36.42667,41.95628
2006en,0.031939,MCG+05-54-041,4.07111233513,347.52108,30.22333,347.51954,30.22433
2006eb,0.01723,UGC00771,4.14394426501,18.42125,-0.10178,18.42428,-0.10273
2006ef,0.017902,NGC0809,9.83463250086,31.08129,-8.72839,31.07904,-8.73529
